"IndividualId","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Hematocrit","Organism|MeanBW","Organism|MeanHeight","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate"
"1",40,40,16.764,0.997754637877944,1,0.41,63.2933088777244,16.0865036448052,0.789337656803681,0.343139410614033,0.032332,9.65137886224195,1.3527132411606,0.50793382826116,25.9969544688866,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.025901,0.0134279671525764,0.08968,0.351176613247141,0.915413696954491,0.415018767091334,30,59,0.11704,1.5,15,0.9,44.4,2.64339271869649,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.16855374548276,0.365549269124157,126.000000328837,0.716898392405246,0.94606778981332,2652,0.430013383003157,0.716763272792464,1.95901489701084,0.206330078914051,0.989238779968652,0.53,25.2758877638106,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032804,0.17593394492078,0.350709653673508,0.849396351256513,3.04861040262402,0.10856,0.17330543590656,0.906427369248464
"2",40,40,16.256,0.997754637877944,1,0.41,63.2933088777244,16.0865036448052,0.771365713960107,0.335306180524666,0.032332,9.07552562059526,1.35291319407409,0.50793382826116,39.5367619389944,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.025901,0.0131217854381976,0.08968,0.343473281135636,0.915413696954491,0.406242950620291,30,59,0.11704,1.5,15,0.9,44.4,2.64339271869649,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.164735815914538,0.365549269124157,126.000000328837,0.700874184233978,0.94606778981332,2652,0.420420720651524,0.716763272792464,1.92466650157595,0.206330078914051,0.968955338468996,0.53,23.9881666660042,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032804,0.171918415144873,0.350709653673508,0.830068022112216,3.22586455637271,0.10856,0.169618978048537,0.906427369248464
"3",40,40,17.272,0.997754637877944,1,0.445072,83.5580896502615,17.7433148148148,0.909079426336147,0.39592818388449,0.02696402189,10.8526554127041,1.50705388365775,0.51675,18.8361026298089,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02134695446,0.0386147913036593,0.07904075075,0.411606762503657,0.6113258775,0.451049655410991,30,54,0.11704,1.5,15,0,44.4,2.9683924205,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.159628917278534,0.3786434847,126.000000328837,0.686058024838852,0.8803528227,2652,0.39041370453633,0.61832860505,2.20355474651368,0.197151825,1.18080794081458,0.58,30.7201023095705,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0373489298,0.180816927430712,0.33529221115,0.844914721302637,3.45330109325909,0.084780865,0.178310886170972,0.78563809675
"4",40,40,16.764,0.997754637877944,1,0.463449,80.313934147794,17.0886472465489,0.972477356410825,0.422885049338621,0.02696402189,11.7695480674824,1.5074106339368,0.51675,18.4829643095406,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02134695446,0.0411879908946756,0.07904075075,0.439908541286822,0.6113258775,0.482378597875421,30,54,0.11704,1.5,15,0,44.4,2.9683924205,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.170318828253244,0.3786434847,126.000000328837,0.732328606490747,0.8803528227,2652,0.417067737159407,0.61832860505,2.37690159472476,0.197151825,1.26754309571894,0.58,35.4694876559007,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0373489298,0.19308807081143,0.33529221115,0.901393822803279,3.96247070042506,0.084780865,0.190639367672108,0.78563809675
"5",40,40,18.161,0.997754637877944,1,0.41,63.2933088777244,16.0865036448052,0.838143206501702,0.364333513045866,0.032332,11.327177297881,1.35276851930995,0.50793382826116,37.172795683292,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.025901,0.0142592169338502,0.08968,0.373012713181111,0.915413696954491,0.441021404926172,30,59,0.11704,1.5,15,0.9,44.4,2.64339271869649,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.178983626809543,0.365549269124157,126.000000328837,0.761222126256582,0.94606778981332,2652,0.456548876876619,0.716763272792464,2.08388382971363,0.206330078914051,1.05120453183537,0.53,29.8307705709189,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032804,0.186791374298886,0.350709653673508,0.901912509581189,3.58104981032127,0.10856,0.184121579778524,0.906427369248464
"6",40,40,17.272,0.997754637877944,1,0.41,51.366,15.4242,0.691867919154721,0.300784940058798,0.032239771318,9.86377978420728,1.35760822508876,0.52156,30.8688709317151,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.025901,0.0123429265905257,0.0894246865859998,0.308968393982676,0.895793213380001,0.379661252441524,30,59,0.11704,1.5,15,0,44.4,2.77056158723,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.153390676388814,0.360044810779999,126.000000328837,0.652613420426048,0.93181292519,2652,0.391506025708747,0.70597292402,1.81097302060761,0.227077028800001,0.890638981886158,0.53,22.2185872281795,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.037635930434,0.159292094483168,0.347106819369999,0.744550154232016,3.01954899440609,0.108251474014,0.175015146714265,0.805225782462001
"7",40,40,17.018,0.997754637877944,1,0.47,60.0175,16.99,0.769695127566007,0.334584157174546,0.02696402189,9.45492594334475,1.50993376211376,0.51675,29.5028323635521,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02134695446,0.0321438746862284,0.07904075075,0.333823920076529,0.6113258775,0.350870979665726,30,54,0.11704,1.5,15,0,44.4,2.9683924205,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.134563409652039,0.3786434847,126.000000328837,0.578908105911278,0.8803528227,2652,0.329818687712451,0.61832860505,1.92058806810101,0.197151825,0.977533695013032,0.58,26.9029281738703,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0373489298,0.152210747305069,0.33529221115,0.828294602324587,3.42061534205141,0.084780865,0.165729081150794,0.78563809675
"8",40,40,16.764,0.997754637877944,1,0.41,63.2933088777244,16.0865036448052,0.789311903529207,0.343125038584316,0.032332,9.65128417526671,1.35273399176414,0.50793382826116,26.752408057302,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.025901,0.0134283656374499,0.08968,0.351175429553273,0.915413696954491,0.415207795711354,30,59,0.11704,1.5,15,0.9,44.4,2.64339271869649,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.168557161357949,0.365549269124157,126.000000328837,0.716885708740631,0.94606778981332,2652,0.430088119630015,0.716763272792464,1.95986643631189,0.206330078914051,0.989288830756629,0.53,25.3027743866216,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032804,0.175805144676155,0.350709653673508,0.849398743062303,3.06527191685172,0.10856,0.173389287695893,0.906427369248464
"9",40,40,18.796,0.997754637877944,1,0.47,74.3701739643305,17.5106598984771,1.01200148474424,0.440798576802816,0.027495,13.6511447374473,1.50691358934314,0.4960804488543,15.5984204975824,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02184,0.042981828500363,0.0806,0.457918710149129,0.624222887,0.501625303730003,30,54,0.11704,1.5,15,0.9,44.4,2.81404023345742,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.177637786506435,0.388271282920694,126.000000328837,0.763573573329228,0.90269805002269,2652,0.434617066466944,0.634045697698776,2.44823139279149,0.182996245052804,1.31280984303148,0.58,36.794669234066,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03419,0.20122240396487,0.342803347940327,0.940456529317031,4.11652834063846,0.08645,0.198448863660795,0.883643914390751
"10",40,40,17.018,0.997754637877944,1,0.47,74.3701739643305,17.5106598984771,0.939717415634189,0.409210712053203,0.027495,11.1931768604136,1.50816968250906,0.4960804488543,37.6277644005358,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.02184,0.0398959574387292,0.0806,0.427050494661921,0.624222887,0.468303991921115,30,54,0.11704,1.5,15,0.9,44.4,2.81404023345742,1.00000000260982,0.5,15.0000000391473,1.00000002079922,0.999999963215789,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.165032148703223,0.388271282920694,126.000000328837,0.71000450567992,0.90269805002269,2652,0.404394555674496,0.634045697698776,2.33479782126711,0.182996245052804,1.23821003809969,0.58,31.7769983222357,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03419,0.187126243798803,0.342803347940327,0.873267776412262,4.2115436801372,0.08645,0.18533535931138,0.883643914390751
