"IndividualId","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Hematocrit","Organism|MeanBW","Organism|MeanHeight","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate"
"1", 93, 40, 15.286, 0.986596986265264, 1, 0.47, 62.0850991761552, 16.1918444661422, 0.771639982821717, 0.336059667449719, 0.027495, 7.81489006449254, 1.36370462856954, 0.425236518723894, 14.5435099575052, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0288095915263561, 0.0806, 0.415742016865276, 0.758275609546323, 0.348018319889745, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.06394895481683, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.161354735471992, 0.151026682190359, 126.000000328837, 0.693340704692618, 0.351124323408899, 2652, 0.394705665550463, 0.246626063509509, 1.23209626567383, 0.128225551712514, 0.892730752556219, 0.58, 19.7708026252949, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.136397777068607, 0.178448515175278, 0.717198257780178, 2.97672724428073, 0.08645, 0.102272110194055, 0.6054961040813
"2", 91, 40, 16.0232, 0.986596986265264, 1, 0.47, 63.930735861785, 16.3154580944955, 0.81438585160954, 0.35474742230656, 0.027495, 8.58447042537678, 1.36860306657308, 0.430524862709831, 12.0045338723414, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0298510135283384, 0.0806, 0.429613703029889, 0.758275609546323, 0.359403868423824, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.12608217472544, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.166110775784831, 0.15724460028441, 126.000000328837, 0.713186209129616, 0.365580459583789, 2652, 0.406064793532005, 0.256779902821343, 1.26922026526634, 0.131200212310127, 0.915489124220434, 0.58, 21.5117691561241, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.141101258376109, 0.184824889344004, 0.756844151410319, 3.06531227775645, 0.08645, 0.109292711321339, 0.606450344300977
"3", 65, 40, 17.9699, 0.992141232572805, 1, 0.47, 71.5442276114811, 16.9286845989344, 0.948875225549929, 0.413293240839107, 0.027495, 12.0834638083494, 1.44892269511629, 0.463547601664024, 19.8121511918592, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.034212104092135, 0.0806, 0.481064275828329, 0.661154524420811, 0.469650053958782, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.82911561567851, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.176187843221997, 0.29228348192843, 126.000000328837, 0.757507879974404, 0.679534492496904, 2652, 0.431276840013818, 0.477297941869657, 1.97190448597413, 0.169870800079092, 1.28285720982359, 0.58, 32.7833026860282, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.179742147264651, 0.285670263901387, 0.881864366494886, 3.97347792683989, 0.08645, 0.170245940321693, 0.767460039029578
"4", 64, 40, 18.535, 0.99236576878501, 1, 0.47, 71.6276977117591, 16.967055173204, 0.972761065020276, 0.423661334112765, 0.027495, 12.8859027345994, 1.4519196017171, 0.465537830808216, 23.7856820781424, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0351331671574144, 0.0806, 0.49074289952833, 0.660535338474387, 0.4816156655091, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.8642513566448, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.18002755328693, 0.299898532188098, 126.000000328837, 0.774286314803664, 0.697238843353137, 2652, 0.440622397610837, 0.489733293303796, 2.05847607980413, 0.171358130377898, 1.32193655309399, 0.58, 35.1906885575302, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.185118756413256, 0.29101820766057, 0.904025543588179, 4.24225877556727, 0.08645, 0.175141080644444, 0.783361344951501
"5", 91, 40, 15.9825, 0.986596986265264, 1, 0.47, 63.930735861785, 16.3154580944955, 0.813326689535658, 0.354159444338612, 0.027495, 8.54370979692296, 1.36994865052408, 0.430524862709831, 51.238723930864, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0297919383628267, 0.0806, 0.4308215270471, 0.758275609546323, 0.36104481159413, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.12608217472544, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.165977712996915, 0.15724460028441, 126.000000328837, 0.713958619066999, 0.365580459583789, 2652, 0.406344822686926, 0.256779902821343, 1.31167301144941, 0.131200212310127, 0.931282989761861, 0.58, 22.7244762965537, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.141250418552961, 0.184824889344004, 0.755825508684724, 4.09802498488063, 0.08645, 0.109658863391946, 0.606450344300977
"6", 82, 40, 15.277, 0.98832411696531, 1, 0.47, 67.4725014554383, 16.5142486486621, 0.809534210452534, 0.352539811509366, 0.027495, 8.13334555107305, 1.3947377548084, 0.443076542621853, 17.1438585915332, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0288056354488858, 0.0806, 0.416067720976468, 0.758275609546323, 0.368270091603592, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.37833490841834, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.158939962794079, 0.184785253330082, 126.000000328837, 0.683319852746032, 0.429610159678186, 2652, 0.389030253260545, 0.301753696515453, 1.32696497873037, 0.144586184999384, 0.982843445506681, 0.58, 22.2651224489194, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.140330315859277, 0.209230909255783, 0.752298609865905, 3.12980171432926, 0.08645, 0.124189114190693, 0.602255158998102
"7", 68, 40, 16.9178, 0.991467623936188, 1, 0.47, 71.2938173106472, 16.8135728761259, 0.902638486200716, 0.393155145911172, 0.027495, 10.6316881928178, 1.43978524541637, 0.457576914231446, 13.6080526728556, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.03237277822727, 0.0806, 0.464040631414015, 0.663012082260086, 0.445467945817092, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.72370839277963, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.1692147029924, 0.269438331149423, 126.000000328837, 0.726815340884438, 0.626421439928204, 2652, 0.413716237133138, 0.439991887567239, 1.76899468855764, 0.165408809182673, 1.19847062896193, 0.58, 28.2428144115336, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.16858471029682, 0.269626432623839, 0.838866614689661, 3.49484206447829, 0.08645, 0.160479145284824, 0.719756121263809
"8", 58, 40, 16.9962, 0.993712986058244, 1, 0.47, 72.1700262781692, 17.1746973427715, 0.919210088305976, 0.400375126340383, 0.027495, 10.9379559458171, 1.4709861378817, 0.47566522846737, 13.1849711786282, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0335701556895889, 0.0806, 0.447356409898247, 0.65306951295095, 0.453901355144376, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 2.08075389590922, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.167115681520022, 0.341680534588875, 126.000000328837, 0.718087635487936, 0.794378481931374, 2652, 0.408665215328665, 0.557963162544122, 2.0448606441492, 0.180282112170737, 1.24187609053477, 0.58, 28.6598374890569, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.177774984906459, 0.320945864414368, 0.854206651642103, 3.51174858364881, 0.08645, 0.167499695148307, 0.865309316484401
"9", 17, 40, 16.7496, 1.00152289980818, 1, 0.43, 58.2666666666667, 16.82, 0.837883485091601, 0.364313579356509, 0.0340782, 9.28254804008311, 1.48151929506043, 0.54119, 8.29465718069836, 0.739333333333333, 0.730091666666667, 0.00184833333333333, 0.212, 0.210666666666667, 0.2528, 0.788314166666667, 0.850233333333333, 0.00147866666666667, 0.00187051333333333, 0.1896, 0.01264, 0.0421333333333333, 0.0311402, 0.0213186969458054, 0.158712666666667, 0.307562705862868, 0.831297133333333, 0.36405723997967, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 3.66939646666667, 1.00000000260982, 0.477839333333333, 15.0000000391473, 1.00000002079922, 0.999999963215789, 1.91134, 0.477839333333333, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.139247211340655, 0.454974, 126.000000328837, 0.598432330593489, 1.05858826666667, 2524.6, 0.344426687690038, 0.735007866666667, 1.78408809280629, 0.2314, 0.850387942156564, 0.58, 26.8788960562482, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.177333333333333, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.0349162666666667, 0.15489281800988, 0.409222666666667, 0.901623757088441, 2.41166279698786, 0.131100666666667, 0.18248197079248, 0.880225666666667
"10", 83, 40, 16.3435, 0.988099580753104, 1, 0.47, 67.1451330490835, 16.4971256811634, 0.849027419895376, 0.369851303865382, 0.027495, 9.25983767680223, 1.39091036216338, 0.441838104131971, 11.7181068666026, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0302983660208548, 0.0806, 0.435882551445993, 0.758275609546323, 0.382632163389415, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 1.35068664295102, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.167148117552222, 0.181731291580251, 126.000000328837, 0.717767132433591, 0.422509955677317, 2652, 0.408559259172707, 0.296766587260679, 1.35155993009413, 0.143098854700578, 1.00564519393929, 0.58, 23.9599543918399, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.146742046402557, 0.206578680152356, 0.788982888847161, 3.18931614234508, 0.08645, 0.127778143083207, 0.602839197174691
