Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
30,0.06654543,0.08829487,0.2788648,0.2846325,0.3778368,0.2735471,0.1451048,0.2598085,0.1199152,0.09952878,0.2223334,0.1517841,0.3488488,0.1484433,0.3334297,0.09551048,0.2507807,0.32842,0.4508913,0.3261919,0.3468454,0.1927916,0.08205028,0.5154571,0.08382428,0.2832752,0.11126,0.3288004,0.3389874,0.2713256,0.4513239,0.2870148,0.4686332,0.1852892,0.1506926,0.2169704,0.2990119,0.1352714,0.1903016,0.04405551,0.3841391,0.2029325,0.2152758,0.1630979,0.2477966,0.3675916,0.06109467,0.1264118,0.05021923,0.1363037,0.09658331,0.4706977,0.1266237,0.06073971,0.3026269,0.4444279,0.3726743,0.435908,0.433354,0.4726091,0.5778483,0.4785024,0.4923455,0.1148596,0.1397569,0.2265332,0.06394168,0.415282,0.1240341,0.3794398,0.357754,0.2315437,0.2295686,0.2571782,0.308102,0.334447,0.2458873,0.1833755,0.4174994,0.2286364,0.1207,0.6167214,0.05354378,0.06872667,0.1272685,0.2227976,0.2479803,0.04972459,0.163602,0.1815166,0.148599,0.2413034,0.1988235,0.4287509,0.1310951,0.1076335,0.4254211,0.02996202,0.1010978,0.2825502,0.2421222,0.4162509,0.4435489,0.06968968,0.4269508,0.3931202,0.4774899,0.5541613,0.08340304,0.09151612,0.2250159,0.2760296,0.224385,0.09789958,0.1045465,0.2038776,0.2220978,0.1260049,0.11508,0.1481779,0.2363064,0.297371,0.6221532,0.07531951,0.3982083,0.3017974,0.0847966,0.24818,0.2307238,0.2432391,0.4022139,0.5686574,0.323833,0.2348361,0.6803419,0.244364,0.1078286,0.3430526,0.4836614,0.2784033,0.1059874,0.05414902,0.2407773,0.280334,0.1614589,0.209442,0.4630867,0.2325023,0.2741287,0.3827272,0.06513879,0.1186916,0.2352822,0.1855572,0.5091004,0.1378817,0.3991626,0.2779191,0.5038302,0.1217675,0.2426874,0.09764872,0.3237172,0.4589359,0.2312103,0.1779008,0.09730949,0.1956759,0.09688289,0.1062891,0.1363706,0.2156966,0.1840617,0.0993711,0.4303771,0.1449926,0.2366578,0.3936258,0.5952372,0.2086715,0.1602226,0.2709578,0.1319718,0.3196694,0.2768263,0.3827029,0.1552925,0.04969397,0.3399344,0.1578777,0.2215892,0.04987365,0.1349933,0.09969688,0.2772872,0.2255321,0.386748,0.3043726,0.3857267,0.1644107
60,0.3784712,0.3408196,0.6493546,0.7749347,0.8014688,0.8299726,0.6712019,0.7602208,0.498634,0.4786975,0.7394872,0.577622,0.8814973,0.6836522,0.8389167,0.5003341,0.7313259,0.8199912,0.8671486,0.9578654,0.66565,0.7813168,0.4486925,0.8792288,0.3607084,0.8905143,0.5310844,0.8313095,0.7470803,0.855924,0.7883554,0.9269514,1.018573,0.6677065,0.5538013,0.8285494,0.9538444,0.4723456,0.7256095,0.3081897,0.8490114,0.7310132,0.8237346,0.5277771,0.6843756,0.8356972,0.3746483,0.4816318,0.2076831,0.6274716,0.4104739,0.8156162,0.5536678,0.3574766,0.8748991,0.9051166,0.9593954,0.9925457,0.7804664,0.9215847,0.7988313,0.9147332,0.8793654,0.5720876,0.6327481,0.7668841,0.3337941,0.7784938,0.5262849,0.8514892,0.8846397,0.690215,0.6745505,0.8049691,0.8478297,0.8053011,0.8639621,0.6093031,0.6925192,0.6533045,0.5698981,0.8815832,0.3019597,0.398396,0.6083485,0.5207899,0.7548045,0.302736,0.7314677,0.6670781,0.5752975,0.7697121,0.8749486,1.084366,0.5092342,0.4238939,0.8807202,0.2007763,0.4573001,0.7033041,0.7991004,1.059395,0.8927588,0.4214801,0.8357168,0.6794207,0.7575334,0.9931154,0.4880857,0.4034706,0.7683637,0.8862657,0.6789862,0.4742583,0.4586177,0.5927536,0.7465094,0.4935499,0.4290209,0.4966674,0.6216062,0.8695502,0.8958895,0.4386263,0.8731508,0.7900714,0.4295422,0.7078862,0.7133741,0.8064237,0.7758587,1.033566,0.8079407,0.8178761,0.9162396,0.7344734,0.5459263,0.7447448,0.8588893,0.7852206,0.5178465,0.2972496,0.7810101,0.7998744,0.6038497,0.5425974,0.8522732,0.7726353,0.7130466,0.9617937,0.3796084,0.5670455,0.6624595,0.6176016,0.8951988,0.6169728,0.8361045,0.6621327,0.882961,0.5385335,0.6633829,0.5250384,0.8600768,0.7193637,0.7148063,0.4977989,0.4892921,0.5625432,0.4410906,0.5213197,0.5029751,0.6616752,0.7293208,0.5211365,1.066387,0.5688738,0.8166643,0.8488107,1.146103,0.670258,0.5179884,0.7608089,0.565375,0.9464973,0.8590383,1.007491,0.6766016,0.3305683,0.8854603,0.6128356,0.7625842,0.3661636,0.6191345,0.5006912,0.7390964,0.7379457,0.8355396,0.7193309,0.9353296,0.5530586
90,0.6436499,0.462639,0.7090207,0.8197688,0.7771705,0.8759394,0.9721587,0.8440117,0.6459261,0.761234,0.8872787,0.7904138,0.904099,0.9402196,0.8619492,0.7569864,0.8663412,0.9041377,0.7824007,0.933889,0.6531924,1.02511,0.7315781,0.8835999,0.5632151,0.9559997,0.7180758,0.9551143,0.8551958,1.022592,0.7749343,1.135671,1.116798,0.7863581,0.6918557,0.91413,1.132689,0.6289869,0.8759493,0.5832676,0.8530267,0.9017662,1.06441,0.6020358,0.8070812,0.8542032,0.6247938,0.6442398,0.2928644,0.9206914,0.6459994,0.7338492,0.745169,0.6299683,1.043979,0.9013034,1.059026,1.000897,0.7789515,0.9337143,0.7111417,0.9300216,0.8561324,0.7877877,0.8496765,0.8695961,0.4886606,0.8068845,0.7073844,0.9459028,0.9503223,0.9249102,0.9050074,0.9590471,1.007003,0.8525606,0.9698237,0.7763525,0.6190494,0.7977394,0.7867807,0.8835475,0.5588073,0.6173344,0.918893,0.5387061,0.9064048,0.5938658,1.042307,0.7632977,0.8413701,0.7814103,1.21024,1.155486,0.6909189,0.6438057,0.8958759,0.3748702,0.6758761,0.8078147,1.008311,1.091847,0.9312455,0.6799322,0.7410421,0.6442607,0.7536148,1.073972,0.7903345,0.5814689,0.900806,1.042536,0.7749485,0.7579883,0.6230148,0.6823617,0.8338073,0.6941196,0.5972356,0.6632662,0.6422209,1.002113,0.8510907,0.7577755,0.8931951,0.8539215,0.612352,0.8184329,0.8301309,0.9090164,0.7638641,1.081473,0.93471,0.9805551,0.8579578,0.8516748,0.7822042,0.7949515,0.859223,0.9169468,0.8411666,0.5087833,0.9585143,0.8967983,0.7717779,0.5143842,0.8892179,0.9724442,0.826232,1.008171,0.6342714,0.7556852,0.8018045,0.7456828,0.9055882,0.8267903,0.8294448,0.6826567,0.8851116,0.7268152,0.7537565,0.8668534,0.9727702,0.6822034,0.8275053,0.6768612,0.7748625,0.6983466,0.6098996,0.7977372,0.639281,0.8005824,1.013972,0.8271372,1.12244,0.7097159,0.9505689,0.8981652,1.207015,0.8601838,0.6905405,0.8806542,0.7401937,1.140269,0.992119,1.098571,0.9199606,0.5815517,0.9582372,0.7445446,0.96109,0.6848298,0.8353113,0.7397874,0.9708292,0.8975759,0.8267656,0.8007762,1.055966,0.7150635
120,0.7349881,0.4775967,0.6681302,0.7459566,0.6785487,0.8067091,1.031896,0.799678,0.6182935,0.863713,0.867819,0.8119017,0.800772,0.9580574,0.7975916,0.7951881,0.85438,0.8793432,0.6629422,0.7889682,0.5864403,1.060013,0.8161242,0.809195,0.6378043,0.8613296,0.7180133,0.9578837,0.8409105,1.034779,0.7036019,1.16508,1.091006,0.7281256,0.6554233,0.8018638,1.132984,0.6418548,0.8172486,0.715279,0.7744932,0.8753089,1.099298,0.5607293,0.7693302,0.7707751,0.7025672,0.6441234,0.2984681,1.000669,0.7516518,0.6080778,0.7466496,0.7416303,1.047656,0.8220489,1.006113,0.8965955,0.6995684,0.8584657,0.5999388,0.8734347,0.7907161,0.7489896,0.8418497,0.8120403,0.5063343,0.7443572,0.7090705,0.9173514,0.9062229,0.9973263,0.9679618,0.9520881,1.01236,0.7983089,0.8818886,0.7892945,0.5040206,0.7768701,0.7898511,0.8295395,0.6965467,0.6516037,1.02257,0.4675403,0.8864178,0.7901331,1.125912,0.6843823,0.9268554,0.6742014,1.236586,1.091781,0.7229689,0.7306867,0.8342783,0.4586037,0.712769,0.7910455,1.060891,1.001636,0.8838256,0.7315535,0.602024,0.5761479,0.6963363,1.047393,0.8899138,0.602962,0.8537679,1.023859,0.7370392,0.8590581,0.6215669,0.6495748,0.770747,0.7438214,0.6430246,0.6848081,0.5695227,0.9811054,0.7674105,0.9008958,0.8327765,0.8051302,0.6202931,0.7848175,0.7892094,0.8303246,0.68294,1.033377,0.9071894,0.9747716,0.7670834,0.7928309,0.8073723,0.756807,0.784044,0.8819238,0.9857677,0.5940847,0.9758906,0.8667983,0.766726,0.4155867,0.8534682,0.9948105,0.7934099,0.9238182,0.7172007,0.7218438,0.7961184,0.7149975,0.8475312,0.8066501,0.7592582,0.5998199,0.8179452,0.7457637,0.7346303,1.006592,0.9232248,0.6031978,0.7648228,0.7400191,0.8543473,0.6951929,0.6289044,0.8727958,0.6353672,0.7672148,1.078129,0.9221199,1.063999,0.6848996,0.9076462,0.8718243,1.160082,0.8683695,0.7170081,0.8628827,0.7368267,1.165122,0.973509,1.036919,0.9706455,0.6709701,0.9030717,0.7316768,0.9683732,0.8319917,0.8457405,0.7681344,1.04796,0.8878216,0.7359064,0.760833,1.041733,0.707073
180,0.6615018,0.4154709,0.5304805,0.5608452,0.4868453,0.6279078,0.9133818,0.6516963,0.4721469,0.812604,0.7151957,0.6681769,0.5786329,0.7860371,0.6281083,0.6582469,0.7167503,0.7481976,0.458739,0.5439368,0.4460407,0.9540509,0.7065622,0.621311,0.5927447,0.6383007,0.578795,0.8624209,0.7106855,0.9341341,0.5512989,1.071814,0.9426017,0.5367057,0.4757136,0.5618046,0.994727,0.5400373,0.6067722,0.6902765,0.601496,0.7057582,0.9837728,0.4244539,0.5831568,0.5753728,0.6293948,0.5069015,0.2469816,0.9347472,0.7503888,0.4002963,0.5993164,0.6966274,0.9224639,0.6356961,0.8133279,0.6622726,0.5283458,0.6673994,0.4097859,0.7103356,0.6543456,0.5269402,0.6671475,0.6329753,0.4109272,0.5768089,0.5792423,0.7685853,0.7537728,0.9323515,0.8687214,0.8235044,0.8932254,0.6455212,0.649533,0.6801541,0.3255602,0.5948108,0.6337836,0.6745992,0.698957,0.5206941,0.9933428,0.324957,0.7264017,0.8999457,1.065031,0.479279,0.8596155,0.475436,1.024668,0.894165,0.6424177,0.6865558,0.6678177,0.4474528,0.5923759,0.6728141,1.010139,0.7668328,0.7320291,0.6094809,0.3790313,0.4468734,0.5627731,0.9037643,0.817628,0.4734244,0.6639544,0.8580053,0.5913957,0.8090603,0.4973337,0.526213,0.5897384,0.664326,0.5941792,0.5636147,0.4210099,0.8235168,0.5922806,0.904693,0.6854648,0.6463067,0.4949169,0.6267232,0.6249653,0.6106711,0.506844,0.852605,0.7458522,0.8411176,0.5839181,0.5817077,0.6836396,0.6369066,0.6071413,0.6971118,1.004545,0.5577541,0.8780679,0.7177206,0.6269622,0.2581039,0.7273019,0.89259,0.6290995,0.7103589,0.6512488,0.5334969,0.6633844,0.5638873,0.7002729,0.6170154,0.5888007,0.4207927,0.6585545,0.6381202,0.6168559,0.9936669,0.7273411,0.4544522,0.5687867,0.6932679,0.7363412,0.5657777,0.5404126,0.7939623,0.5168344,0.5874632,0.9738019,0.8483317,0.8770553,0.5337939,0.7188223,0.7527608,0.9788321,0.7118867,0.6062726,0.7257833,0.6019651,1.062004,0.8251737,0.8245141,0.9020627,0.6128141,0.7289068,0.6145747,0.8385127,0.8271179,0.712257,0.6366504,0.9938406,0.7490424,0.5350267,0.6147614,0.8982393,0.5489435
240,0.5236696,0.3579356,0.4144359,0.4160086,0.3614576,0.4750082,0.7443811,0.5137404,0.3557248,0.6748215,0.5602952,0.5108715,0.4236372,0.6005512,0.4789215,0.4984419,0.5676206,0.6132985,0.3264798,0.3856237,0.3378187,0.8050649,0.5353115,0.4799545,0.4864068,0.4715277,0.4423569,0.7500915,0.5731225,0.8008484,0.4485295,0.9304662,0.7837029,0.3856501,0.3388945,0.3990116,0.8325229,0.4353878,0.439864,0.556665,0.4636816,0.5465951,0.8214966,0.3208134,0.4256288,0.4366464,0.4999162,0.3731759,0.2079619,0.8035858,0.6590548,0.2873047,0.447999,0.5690976,0.7731202,0.4821443,0.6377124,0.4913476,0.4043238,0.5101618,0.2961292,0.5571042,0.5452877,0.3592639,0.5023363,0.4809725,0.3085113,0.440822,0.4507902,0.6218251,0.6079639,0.7931588,0.701588,0.6788442,0.7562512,0.5164988,0.4737231,0.5538541,0.2375401,0.4241786,0.4795577,0.5423756,0.5831558,0.3791238,0.8794014,0.2454609,0.5722485,0.8256995,0.9301351,0.3372582,0.7189813,0.3388789,0.7877787,0.7151851,0.5369335,0.5541919,0.5239922,0.3700216,0.4494393,0.5562419,0.8983024,0.5758873,0.5980211,0.460603,0.2573213,0.3504778,0.4533616,0.762778,0.6678656,0.3479148,0.4972996,0.6854272,0.4580703,0.6823143,0.3798175,0.4305055,0.4409209,0.5422402,0.5178423,0.419237,0.3326102,0.6575505,0.4524497,0.7944968,0.5685401,0.5088981,0.3725277,0.4803433,0.4804462,0.4384159,0.374737,0.6872353,0.5993094,0.702955,0.4427173,0.4145943,0.5403435,0.530672,0.4659819,0.5295709,0.9056485,0.452363,0.7471899,0.5736884,0.4917087,0.1820066,0.6028742,0.7679553,0.4856068,0.5395098,0.5271988,0.3842773,0.5227107,0.4311219,0.5736009,0.4496893,0.4472884,0.3087674,0.5270393,0.5068364,0.4921685,0.8716,0.5653176,0.35248,0.4205031,0.5794781,0.5613389,0.4352617,0.4382358,0.6589876,0.4011085,0.4319508,0.8067462,0.7076904,0.696752,0.4057708,0.5540321,0.6216334,0.7969179,0.5418624,0.4674125,0.5901137,0.4725156,0.9134979,0.6683778,0.6321721,0.7814932,0.4904965,0.5812904,0.4907461,0.6920674,0.7118348,0.5668945,0.4944746,0.8589088,0.6018229,0.3939849,0.4997477,0.7416946,0.3993658
360,0.3466583,0.3103837,0.2946231,0.2647391,0.2612496,0.2958624,0.5016046,0.3324288,0.2422209,0.4594477,0.3700567,0.3390616,0.2871035,0.3937103,0.2960848,0.306138,0.3661987,0.4463644,0.2146517,0.2378537,0.2195384,0.5766466,0.3191062,0.3548419,0.3380369,0.2943397,0.3041126,0.6056312,0.3906401,0.6042818,0.369332,0.7062521,0.5586159,0.2362375,0.2286145,0.2418357,0.6184202,0.3272222,0.2698055,0.3511639,0.3137402,0.3540747,0.5804052,0.2400157,0.2750543,0.3316084,0.318293,0.2313864,0.1816131,0.6033223,0.5037597,0.2256536,0.2715016,0.3828282,0.559713,0.3134953,0.4250272,0.3404045,0.2776131,0.346099,0.2127236,0.3555226,0.4162677,0.2155682,0.3131976,0.311632,0.1944335,0.3009787,0.3190982,0.4448746,0.4184622,0.5713608,0.4671218,0.4796602,0.5858484,0.3762645,0.2977579,0.3965958,0.2019689,0.2454576,0.2987043,0.4056076,0.3991965,0.234487,0.6666671,0.206647,0.3986701,0.6098264,0.7031748,0.2225458,0.5201421,0.2026817,0.4932336,0.4920326,0.4128329,0.3441222,0.3673467,0.2560721,0.2745638,0.4082819,0.7020904,0.3826004,0.457969,0.2722038,0.1896853,0.2448289,0.3238461,0.5941088,0.4424232,0.2430638,0.3135242,0.4738719,0.2977724,0.490572,0.2624293,0.3597568,0.2729986,0.3884905,0.4326981,0.2482361,0.2799449,0.4350762,0.2927111,0.5798975,0.442352,0.3659571,0.244284,0.3050924,0.3130637,0.2570995,0.246854,0.5103185,0.4359171,0.5524808,0.2892901,0.2475051,0.3507762,0.4007267,0.3205369,0.3443981,0.7000464,0.3063195,0.5470164,0.40847,0.3493646,0.1360346,0.4383009,0.596678,0.3280105,0.3465692,0.3641848,0.2364426,0.3448547,0.2873336,0.4157241,0.2665707,0.296036,0.2276063,0.3749046,0.3249052,0.3270808,0.6456831,0.4088792,0.2559137,0.2828867,0.4019841,0.3435059,0.2884136,0.320807,0.4599629,0.2776066,0.2722159,0.5529479,0.5045464,0.4650411,0.2936218,0.3847493,0.4305556,0.5564607,0.3380734,0.2908305,0.437392,0.350706,0.6806703,0.4709407,0.4036014,0.5852723,0.3204531,0.4284851,0.3245021,0.5016125,0.5133079,0.3833926,0.3255464,0.6351883,0.403285,0.2864891,0.3989589,0.5360613,0.2440704
480,0.2801203,0.3100601,0.2467522,0.2096719,0.2422853,0.2234303,0.3837915,0.2451462,0.2042673,0.3557281,0.2912839,0.281441,0.2552254,0.3283571,0.2156409,0.2349624,0.2692466,0.3760481,0.1880583,0.1890159,0.1725096,0.4548613,0.232352,0.3059529,0.2724668,0.2242705,0.2689634,0.539647,0.3029393,0.5056857,0.3436699,0.5847402,0.4423186,0.1892045,0.2042959,0.1868873,0.5367848,0.2998679,0.2104974,0.2576195,0.2583475,0.2731338,0.4590136,0.2283511,0.226904,0.3176266,0.2369172,0.184823,0.1841621,0.5150417,0.4343814,0.2200253,0.2036116,0.3052275,0.453409,0.2495121,0.3337514,0.3006408,0.2263308,0.2868617,0.1925501,0.2584829,0.3558055,0.1810567,0.2371308,0.2529271,0.1582968,0.2383505,0.2818995,0.3666765,0.3310707,0.4573799,0.3589887,0.3848364,0.511763,0.3222889,0.2388399,0.3391973,0.2073769,0.1847507,0.2266452,0.3515227,0.3203219,0.1905208,0.5366709,0.2045502,0.3319522,0.4854206,0.5780604,0.2000068,0.4360468,0.1541345,0.3701798,0.390305,0.3673042,0.2451447,0.3122761,0.2102389,0.2017849,0.3371661,0.5923226,0.324436,0.4121296,0.1893376,0.1812378,0.2007215,0.2646335,0.513166,0.3294102,0.2240347,0.2452555,0.3870394,0.2300602,0.4041226,0.2279825,0.3580115,0.2059084,0.3364731,0.4090491,0.1826061,0.2786788,0.3291223,0.2260066,0.4498811,0.3933899,0.3259161,0.2036636,0.2310249,0.2438138,0.1887936,0.2018153,0.4322154,0.3715273,0.5159457,0.2301056,0.1889431,0.2692925,0.3400523,0.2588919,0.2737361,0.5749133,0.2482476,0.4401313,0.3559535,0.3038628,0.1308889,0.3601529,0.5117705,0.261241,0.2656059,0.2997581,0.1876126,0.265248,0.2352608,0.338841,0.1956611,0.2420411,0.2140977,0.3118693,0.2423885,0.2484213,0.5138702,0.3682392,0.2190677,0.246744,0.3158755,0.2565659,0.2304236,0.2783169,0.3633803,0.2434196,0.2171227,0.4219825,0.4110167,0.3614576,0.2674319,0.338139,0.330926,0.4435488,0.255153,0.2127636,0.3783244,0.3253184,0.5547391,0.3866673,0.3089052,0.4799574,0.2472199,0.3862552,0.2456233,0.4191133,0.4173577,0.3113435,0.2647082,0.5166195,0.3051119,0.2712375,0.3646333,0.4350314,0.1926258
720,0.2507963,0.3373421,0.191542,0.1705508,0.2118046,0.1751748,0.3013206,0.1800948,0.1723398,0.2740696,0.2266234,0.2355035,0.2242184,0.2726188,0.1603567,0.1995307,0.1920249,0.3041281,0.1589646,0.1583599,0.1370255,0.3586545,0.1771763,0.2353131,0.2175027,0.1788476,0.2518935,0.4580236,0.2305002,0.4267273,0.2911207,0.4793606,0.3515677,0.1554566,0.2043946,0.1550375,0.4843492,0.272513,0.1705929,0.1941628,0.2211167,0.2204173,0.364685,0.1978691,0.1813445,0.3104588,0.1796523,0.148253,0.2087868,0.4579429,0.3749074,0.2199964,0.155357,0.2618166,0.3730848,0.1982919,0.2707044,0.2610126,0.1818205,0.2360589,0.1446891,0.1851034,0.3016011,0.1704041,0.1890047,0.2095439,0.139252,0.1760815,0.2748471,0.2966468,0.2693076,0.3706988,0.273591,0.3129812,0.4272845,0.271736,0.1989693,0.2749884,0.1739883,0.148287,0.1785047,0.2744774,0.2727774,0.1743237,0.4259191,0.1417761,0.2655201,0.4052928,0.4803002,0.1935514,0.3777626,0.1239374,0.2901767,0.318186,0.3545429,0.1778738,0.2650223,0.1905649,0.1539578,0.2742674,0.5043775,0.2754528,0.3658718,0.1353195,0.1771017,0.1648405,0.2147458,0.4265593,0.2473094,0.2310792,0.1931856,0.3103468,0.1780553,0.3416826,0.219294,0.3646964,0.161846,0.2745159,0.4237404,0.140069,0.2944827,0.2512308,0.1768306,0.3335222,0.3569193,0.2865245,0.1879978,0.1786797,0.1946235,0.1446121,0.1525847,0.3334727,0.3249201,0.4843102,0.1911834,0.1528804,0.2178316,0.2846806,0.1964766,0.2214914,0.4620112,0.221125,0.3531358,0.3242144,0.2584899,0.1351881,0.3033641,0.444757,0.2014504,0.2112685,0.2724726,0.1594088,0.1999032,0.1953675,0.272938,0.1503813,0.1914887,0.1638131,0.2670861,0.187538,0.1792511,0.4072294,0.2921565,0.1826646,0.2171814,0.2487101,0.2002617,0.1837187,0.2621015,0.2916783,0.2202961,0.1785162,0.3231011,0.3485079,0.2842477,0.2679795,0.2918356,0.2495403,0.355583,0.2021811,0.1514546,0.3087608,0.3193665,0.4474515,0.3105336,0.2448514,0.3895227,0.2072711,0.3492497,0.1848123,0.3643504,0.3585657,0.2709752,0.232494,0.421693,0.2280176,0.2404737,0.3142932,0.3385852,0.1595335
1440,0.225264,0.3845956,0.124526,0.1285866,0.1633938,0.1343636,0.2449799,0.1290517,0.122429,0.1797742,0.1484179,0.1839844,0.1746944,0.2046336,0.1197467,0.1559382,0.1163332,0.1958761,0.1208198,0.1344745,0.09812449,0.2840441,0.1326442,0.1818208,0.1422179,0.1523401,0.1740609,0.3538952,0.1633748,0.3488498,0.208946,0.3823216,0.2883638,0.1123763,0.1506402,0.1356141,0.3778515,0.2302786,0.1320293,0.1413825,0.1824443,0.1840815,0.2846935,0.1103079,0.1398108,0.2231997,0.1247868,0.1045173,0.2471572,0.3606168,0.2940011,0.1449727,0.1069104,0.2075523,0.3125043,0.1430445,0.2257682,0.2095139,0.1394026,0.1908876,0.1060232,0.1270458,0.2393122,0.1438937,0.1578717,0.1500365,0.09884217,0.1261719,0.2362489,0.2266375,0.2237526,0.3066947,0.21587,0.2476409,0.330399,0.1878925,0.160624,0.1640341,0.1092722,0.1265795,0.1319274,0.1793832,0.237833,0.1721649,0.3447728,0.08792578,0.1824242,0.3414407,0.4028661,0.156719,0.3240594,0.1005435,0.2307107,0.2710958,0.2606767,0.1273872,0.2068772,0.188286,0.1155547,0.199815,0.426146,0.2083695,0.3084685,0.1053667,0.1110334,0.1247209,0.1642042,0.3447086,0.198037,0.1809108,0.1428131,0.2366473,0.125126,0.2697119,0.1944334,0.3015338,0.123541,0.1813521,0.347984,0.1074912,0.2735397,0.1988444,0.134619,0.2125062,0.3262255,0.1834703,0.1789865,0.1351879,0.1471331,0.1120332,0.1080275,0.2566235,0.2874128,0.3707985,0.1627568,0.1305602,0.1624721,0.2139688,0.1412524,0.1774118,0.355191,0.1810241,0.2778371,0.2432086,0.1914188,0.1428329,0.2625602,0.3895146,0.1378302,0.1799918,0.2688238,0.1364054,0.135816,0.143446,0.2041718,0.1158629,0.1354399,0.105681,0.2314705,0.1214861,0.1009297,0.3310755,0.2066761,0.1426604,0.1805557,0.1829673,0.1523977,0.1311467,0.2268989,0.2197327,0.1533295,0.1396771,0.2538877,0.2975613,0.221346,0.2273534,0.2113528,0.1767122,0.2846397,0.1709642,0.09591275,0.2155869,0.2296565,0.3523334,0.236239,0.1992076,0.2961706,0.1842096,0.2773029,0.1271217,0.3186199,0.292265,0.2242884,0.1777186,0.3492234,0.1632214,0.1540021,0.2316376,0.2557609,0.1270604
