IndividualId,Gender,Population,Population.Name,Organism.Weight..kg.,Organism.BMI..kg.dm².,Organism.BSA..dm².,Organism.Age..year.s..,Organism.Gestational.age..week.s..,Organism.Height..dm.,Organism.Ontogeny.factor..albumin.,Organism.Ontogeny.factor..alpha1.acid.glycoprotein.,Organism.Hematocrit,Organism.VenousBlood.Volume..l.,Organism.ArterialBlood.Volume..l.,Organism.Bone.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Bone.Volume..l.,Organism.Brain.Volume..l.,Organism.Brain.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Fat.Volume..l.,Organism.Fat.Vf..lipid.,Organism.Fat.Vf..neutral.lipid..PT,Organism.Fat.Vf..phospholipid..PT,Organism.Fat.Fraction.interstitial,Organism.Fat.Vf..water.,Organism.Fat.Vf..water..PT,Organism.Fat.Vf..neutral.lipid..RR,Organism.Fat.Vf..neutral.lipid..WS,Organism.Fat.Vf..neutral.phospholipid..RR,Organism.Fat.Vf..neutral.phospholipid..plasma..WS,Organism.Fat.Vf..extracellular.water..RR,Organism.Fat.Vf..intracellular.water..RR,Organism.Fat.Vf..water..WS,Organism.Fat.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Gonads.Volume..l.,Organism.Gonads.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Heart.Volume..l.,Organism.Heart.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Kidney.Volume..l.,Organism.Kidney.Age.of.aging.onset..year.s..,Organism.Kidney.Aging.half.time..year.s..,Organism.Kidney.GFRmat..l.min.,Organism.Kidney.Hill.coefficient.for.aging.GFR,Organism.Kidney.Hill.coefficient.for.GFR,Organism.Kidney.Maximal.decreasing.rate.factor,Organism.Kidney.TM50.for.GFR..week.s..,Organism.Kidney.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Lumen.Effective.surface.area.variability.factor,Organism.Lumen.Stomach.Distal.radius..dm.,Organism.Lumen.Stomach.Gastric.emptying.time..min.,Organism.Lumen.Stomach.GET_alpha..Weibull.function..variability.factor,Organism.Lumen.Stomach.GET_beta..Weibull.function..variability.factor,Organism.Lumen.Stomach.Length..dm.,Organism.Lumen.Stomach.Proximal.radius..dm.,Organism.Lumen.Duodenum.Effective.surface.area.enhancement.factor,Organism.Lumen.UpperJejunum.Effective.surface.area.enhancement.factor,Organism.Lumen.LowerJejunum.Effective.surface.area.enhancement.factor,Organism.Lumen.UpperIleum.Effective.surface.area.enhancement.factor,Organism.Lumen.LowerIleum.Effective.surface.area.enhancement.factor,Organism.Lumen.Caecum.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonAscendens.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonTransversum.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonDescendens.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonSigmoid.Effective.surface.area.enhancement.factor,Organism.Lumen.Rectum.Effective.surface.area.enhancement.factor,Organism.Stomach.Volume..l.,Organism.Stomach.Specific.blood.flow.rate..l.min.kg.organ.,Organism.SmallIntestine.Small.intestinal.transit.time..min.,Organism.SmallIntestine.Volume..l.,Organism.SmallIntestine.Specific.blood.flow.rate..l.min.kg.organ.,Organism.LargeIntestine.Large.intestinal.transit.time..min.,Organism.LargeIntestine.Volume..l.,Organism.LargeIntestine.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Liver.Volume..l.,Organism.Liver.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Lung.Volume..l.,Organism.Lung.Fraction.vascular,Organism.Muscle.Volume..l.,Organism.Muscle.Vf..lipid.,Organism.Muscle.Vf..neutral.lipid..PT,Organism.Muscle.Vf..phospholipid..PT,Organism.Muscle.Vf..protein.,Organism.Muscle.Vf..water.,Organism.Muscle.Vf..water..PT,Organism.Muscle.Fraction.interstitial,Organism.Muscle.Vf..neutral.lipid..RR,Organism.Muscle.Vf..neutral.lipid..WS,Organism.Muscle.Vf..neutral.phospholipid..RR,Organism.Muscle.Vf..neutral.phospholipid..plasma..WS,Organism.Muscle.Vf..extracellular.water..RR,Organism.Muscle.Vf..protein..WS,Organism.Muscle.Vf..intracellular.water..RR,Organism.Muscle.Vf..water..WS,Organism.Muscle.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Pancreas.Volume..l.,Organism.Pancreas.Specific.blood.flow.rate..l.min.kg.organ.,Organism.PortalVein.Volume..l.,Organism.Skin.Volume..l.,Organism.Skin.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Spleen.Volume..l.,Organism.Spleen.Specific.blood.flow.rate..l.min.kg.organ.,Liver.Enzyme.Reference.concentration..µmol.l.
E0,MALE,European_ICRP_2002,Extensive metabolizers,63.11522668,0.207722328,174.8184438,89.62287465,40,17.43112763,0.912012716,0.385191318,0.47,0.938425176,0.380208545,0.025949268,10.13145757,1.470832199,0.434741137,14.03322685,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021466717,0.029933102,0.073411153,0.63001494,0.736932472,0.295510994,30,54,0.062038224,1.5,14.89012113,0.9,43.12221752,1.193765306,0.389748419,0.5,23.73158834,1.968766044,1.143436168,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.213610117,0.158143671,68.42690019,0.897638707,0.388591834,2652,0.350064111,0.279751509,1.525163826,0.132082144,0.900233832,0.58,26.3076481,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.036623335,0.144270792,0.192867373,0.83249645,3.745082143,0.083849922,0.289409225,0.581979365,1.571292659
E1,MALE,European_ICRP_2002,Extensive metabolizers,71.94959411,0.224859609,189.0822815,49.50740279,40,17.88786253,0.876871813,0.616768968,0.47,0.88175869,0.392274298,0.02876053,12.19726109,1.496888703,0.457439298,11.56424391,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021147924,0.039797882,0.079518638,0.304874917,0.656532581,0.467677481,30,54,0.107546075,1.5,14.57829703,0.9,44.90125193,2.578591138,0.635322589,0.5,13.72755425,1.573396966,1.159633546,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.191695629,0.373263657,67.49967284,0.926505341,0.918328925,2652,0.482044699,0.607600019,2.311350793,0.199432663,2.847876355,0.58,33.1326131,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035777482,0.144066042,0.366126777,0.862499912,3.640887227,0.085928297,0.065278044,0.944026733,1.684000469
E10,MALE,European_ICRP_2002,Extensive metabolizers,85.33534616,0.255864566,208.0662381,46.35662369,40,18.26246534,1.230070653,0.649717263,0.47,0.945260828,0.420341342,0.0299235,12.53505004,1.457843069,0.495633094,20.76931686,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022674694,0.039008604,0.081275933,0.287085715,0.6116138,0.549863893,30,54,0.12468514,1.5,15.14449306,0.9,44.62882222,2.54613218,1.187214954,0.5,14.89074199,2.900492877,0.958708018,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.112735583,0.384756191,116.7726882,0.64017306,0.921513366,2652,0.431671026,0.650186623,3.419060473,0.182565734,1.345565401,0.58,37.11429903,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.036417508,0.15244367,0.350483323,0.873999731,4.029647151,0.086732537,0.211980674,0.983472831,1.897188772
E11,MALE,European_ICRP_2002,Extensive metabolizers,86.0572068,0.326342331,197.0287114,64.61629205,40,16.23891159,0.852533434,1.711271027,0.47,0.931636121,0.375231972,0.027535355,9.897391676,1.375979492,0.470322179,35.13569774,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022241979,0.031090027,0.079863632,0.498320408,0.676190159,0.569024057,30,54,0.123205525,1.5,14.94992641,0.9,44.02340909,1.902673659,1.033260255,0.5,14.00425599,0.367864228,1.760141387,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.164039743,0.297729909,100.7505119,0.664510836,0.7110517,2652,0.493999564,0.450943651,1.191947571,0.1789395,1.846171683,0.58,28.43010082,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.030349007,0.09092039,0.301622386,0.800765438,3.448601763,0.083628287,0.111777503,0.743809715,1.334296808
E12,MALE,European_ICRP_2002,Extensive metabolizers,58.10824695,0.238192609,158.7828874,96.94341337,40,15.6190547,0.922033156,0.800758333,0.47,0.736613983,0.313005521,0.029391551,8.042706487,1.421458252,0.426169753,18.56421716,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022166095,0.027909796,0.082936401,0.398492196,0.803251721,0.356691721,30,54,0.123731691,1.5,14.87621558,0.9,44.73715189,0.967889597,1.351692815,0.5,14.60107586,0.62499008,1.665184692,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.186165017,0.130078168,49.93536599,0.834420301,0.325086254,2652,0.435204802,0.214226489,1.296775452,0.123083834,1.019434144,0.58,20.35101271,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.034528061,0.089591723,0.166392753,0.666272605,3.270713232,0.083244267,0.097561857,0.591710113,3.507619028
E13,MALE,European_ICRP_2002,Extensive metabolizers,85.69257968,0.246826386,210.6041633,67.34583698,40,18.63270108,1.143845141,1.203995191,0.47,1.024800576,0.428105111,0.027112573,12.93727154,1.474665667,0.463702066,20.39954659,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022274199,0.031755856,0.083197641,0.618427793,0.63002937,0.658163188,30,54,0.105240744,1.5,15.02974053,0.9,45.2148952,1.71200289,0.376249268,0.5,15.71090702,1.838912205,1.605995597,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.16247328,0.278276532,119.5493191,0.807965679,0.634685815,2652,0.359011047,0.422141182,2.312756665,0.150064643,1.848825464,0.58,36.92795707,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033624393,0.249699686,0.285965646,0.891471579,4.370949329,0.091152752,0.188733556,0.791610603,1.965186011
E14,MALE,European_ICRP_2002,Extensive metabolizers,61.30865831,0.222041414,168.2249075,22.20191235,40,16.61666688,1.084673515,1.149466908,0.444006374,0.820171622,0.391356145,0.032095644,9.778148356,1.613046068,0.538242612,11.83079814,0.763608924,0.754063813,0.001909022,0.191192351,0.186391076,0.223669291,0.814198016,0.878150263,0.001527218,0.001931931,0.167751968,0.011183465,0.037278215,0.030432903,0.02802176,0.135026963,0.238253112,0.720450054,0.425085149,30,54,0.073574796,1.5,14.91876022,0.9,43.75596194,3.147538175,2.13320537,0.48670686,17.02614864,0.381077679,1.198206362,1.946817042,0.48670686,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.154147573,0.47392257,93.8555013,0.655660359,0.981735752,2575.578741,0.301883514,0.670736054,1.390628369,0.20026481,1.2507733,0.58,28.29413499,0.013,0.0238,0.0072,0.177,0.811,0.76,0.17039745,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.034567177,0.191263115,0.375929099,0.844516677,2.922256677,0.119452535,0.178513381,0.803974903,1.654506763
E15,MALE,European_ICRP_2002,Extensive metabolizers,35.44461469,0.172050415,118.8792889,11.34256516,40,14.35315144,1.34301054,1.070348602,0.4,0.481079815,0.242896913,0.04481337,6.029647483,1.540487655,0.553838426,5.966473545,0.72268513,0.713651566,0.001806713,0.22731487,0.22731487,0.272777844,0.77056302,0.8310879,0.00144537,0.001828393,0.204583383,0.013638892,0.045462974,0.032712457,0.006371712,0.83869641,0.169343095,1.024932687,0.224950567,30,54,0.092961481,1.5,14.55965508,0.9,47.26137875,3.359076588,0.837382059,0.414170104,10.84493544,0.91059944,0.930932049,1.656675044,0.414170104,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.090589087,0.483919379,113.8322834,0.381475082,1.134621823,2505,0.172840476,0.765582929,1.061666757,0.296047344,0.334584852,0.58,16.53139895,0.013,0.0238,0.0072,0.177,0.811,0.76,0.223889218,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032998383,0.085797432,0.536245544,0.613831791,1.341932424,0.226528884,0.169247051,0.976310777,2.959986382
E16,MALE,European_ICRP_2002,Extensive metabolizers,46.81452382,0.220183671,137.7040191,86.5450405,40,14.58135054,1.167662307,1.008653216,0.47,0.801781529,0.333540585,0.031418132,7.109447948,1.350120635,0.433660144,13.68635631,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.023502073,0.026796008,0.078216797,0.368292463,0.856778603,0.279749603,30,54,0.117195968,1.5,15.19846968,0.9,44.07511641,1.162842805,0.737512959,0.5,14.53977731,0.548482519,0.931885101,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.130669206,0.16053153,75.74408011,0.574673769,0.376064229,2652,0.464535201,0.269257221,1.316420008,0.145161429,1.290082434,0.58,15.31646899,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.034526239,0.070512185,0.200188222,0.764164428,2.814015316,0.077661106,0.116897199,0.560133789,1.651944217
E17,MALE,European_ICRP_2002,Extensive metabolizers,65.95774705,0.236708565,174.8852981,19.90739765,40,16.6926743,1.106906297,0.629122649,0.436357992,0.896356293,0.356211097,0.033421086,9.409732625,1.549771891,0.536270932,17.71961889,0.752901189,0.743489924,0.001882253,0.200370409,0.197098811,0.236518573,0.802780893,0.865836367,0.001505802,0.00190484,0.17738893,0.011825929,0.039419762,0.030135087,0.024921961,0.150545438,0.312624903,0.735680045,0.494895644,30,54,0.081260116,1.5,14.7708935,0.9,45.65062314,3.655109744,0.58882238,0.482795477,17.1983647,0.903895132,1.004576371,1.931168452,0.482795477,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.115591828,0.465809656,77.16864611,0.602574517,1.059140787,2553.092497,0.340447827,0.785207786,2.123493098,0.223927843,1.387519422,0.58,26.37915942,0.013,0.0238,0.0072,0.177,0.811,0.76,0.173456803,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032708279,0.169753746,0.392647755,0.940279946,2.943041848,0.117633977,0.191752088,0.881674505,1.684047026
