Time,E0,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,P0,P1,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P2,P20,P21
30,0.161297396,0.160660595,0.159469962,0.162653282,0.151027933,0.159093976,0.160826728,0.153793693,0.160841182,0.160660326,0.158931196,0.160295233,0.159207031,0.158777386,0.159573421,0.169964686,0.170076743,0.169888243,0.170337886,0.170318812,0.169997469,0.170072883,0.170002803,0.170269579,0.170119911,0.170209602,0.169997603,0.169807822,0.169938967,0.169873044
60,0.669194162,0.664464653,0.655696809,0.679358363,0.596231461,0.652948141,0.665695906,0.615203738,0.665803075,0.664462686,0.651761115,0.661763787,0.653773606,0.650641203,0.656454861,0.736445308,0.737350941,0.735827982,0.739465475,0.739310801,0.736710131,0.737319708,0.736753285,0.738911808,0.737700224,0.738426089,0.736711264,0.735178947,0.736237586,0.735705197
90,0.874178588,0.866193414,0.851475477,0.891449869,0.75453043,0.84688431,0.868269086,0.78492415,0.868449926,0.866190135,0.8449049,0.861647844,0.848261952,0.843039274,0.852743566,0.991296113,0.992919683,0.990190148,0.996715307,0.99643743,0.991770685,0.992863655,0.991848052,0.995720804,0.993546128,0.994848728,0.991772771,0.989027977,0.990923822,0.989970267
120,0.889348924,0.879988849,0.862803519,0.90968138,0.751747251,0.85746038,0.882419467,0.78616786,0.882631302,0.879984975,0.855159342,0.874671996,0.85906285,0.852992058,0.86428082,1.029591918,1.031575322,1.028241515,1.036216497,1.035876513,1.030171633,1.031506896,1.030266166,1.034999847,1.032341003,1.033933401,1.030174136,1.026822925,1.029137373,1.027973056
180,0.768151999,0.758507788,0.740894139,0.789225459,0.629950643,0.7354424,0.761008739,0.663806915,0.761226833,0.758503854,0.733098149,0.753045559,0.737076163,0.730892122,0.742403567,0.916990161,0.919154167,0.915517688,0.924224377,0.923852682,0.917622447,0.919079483,0.917725563,0.922894418,0.919989884,0.921729028,0.917625189,0.913971901,0.91649437,0.915225148
240,0.622150183,0.613313496,0.597238481,0.641545236,0.497902602,0.592279732,0.615602672,0.527863383,0.615802348,0.61330986,0.590149879,0.608319581,0.593764901,0.588147044,0.598612785,0.761635423,0.763705969,0.760227144,0.768562019,0.768205762,0.762240231,0.763634503,0.762338877,0.767287552,0.764505923,0.766171277,0.762242854,0.758749366,0.761161208,0.759947419
360,0.424876809,0.417809248,0.405025899,0.440489054,0.32814762,0.401101708,0.419637382,0.350949466,0.419796914,0.417806357,0.39941901,0.413827777,0.402276099,0.397838145,0.406115085,0.540195107,0.541959703,0.538995802,0.546104252,0.545799911,0.54071039,0.541898787,0.540794492,0.545015693,0.542641878,0.544062734,0.540712655,0.537738085,0.539791167,0.538757682
480,0.335068345,0.329022199,0.318124205,0.34847644,0.253627747,0.314788491,0.330584705,0.272568375,0.33072114,0.329019755,0.313359588,0.325622737,0.315786332,0.312017918,0.319050878,0.435781002,0.437351674,0.434714079,0.441044092,0.44077298,0.43623963,0.437297434,0.436314464,0.440074086,0.437959254,0.439224839,0.436241597,0.433595359,0.435421646,0.434502304
720,0.265057266,0.259769559,0.250279367,0.276840836,0.195210546,0.247385204,0.261134535,0.211185217,0.261253744,0.259767413,0.246146917,0.256803572,0.248250395,0.244985059,0.251084268,0.35544762,0.356891125,0.354467571,0.36028868,0.360038847,0.355868995,0.356841266,0.355937749,0.359395355,0.357449681,0.358613849,0.355870813,0.353440762,0.35511747,0.354273081
1440,0.190677226,0.185859203,0.17729798,0.201536238,0.129870266,0.174709246,0.187099651,0.143223643,0.187208086,0.185857266,0.173604831,0.183171645,0.175482035,0.172570303,0.178019777,0.278145969,0.27961871,0.277147412,0.283094138,0.282838136,0.278575629,0.279567808,0.278645754,0.282179087,0.280189186,0.281379342,0.278577477,0.276102334,0.277809441,0.276949376
