"IndividualId","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Hematocrit","Organism|MeanBW","Organism|MeanHeight","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate"
"1", 40, 40, 16.764, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.789274579582962, 0.343132656111349, 0.032332, 9.65115894933844, 1.35271593206346, 0.50793382826116, 25.9973624811831, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0134286804290831, 0.08968, 0.351136445070922, 0.915413696954491, 0.415052534703936, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.168583354385628, 0.365549269124157, 126.000000328837, 0.716911087680185, 0.94606778981332, 2652, 0.430137639043464, 0.716763272792464, 1.95883996666915, 0.206330078914051, 0.989020538452263, 0.53, 25.276284633785, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.175860681729098, 0.350709653673508, 0.84938312943707, 3.04838450027097, 0.10856, 0.173332231982905, 0.906427369248464
"2", 40, 40, 16.256, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.771347775128779, 0.335297798471999, 0.032332, 9.07555824897274, 1.35290652111803, 0.50793382826116, 39.5367720887263, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0131221441056553, 0.08968, 0.343432554761189, 0.915413696954491, 0.406146562294915, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.164738209146031, 0.365549269124157, 126.000000328837, 0.700807171549422, 0.94606778981332, 2652, 0.420404857155943, 0.716763272792464, 1.92435336251032, 0.206330078914051, 0.969342129726386, 0.53, 23.9882430981798, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.171907168961988, 0.350709653673508, 0.830071551755404, 3.22589641793757, 0.10856, 0.169652220405852, 0.906427369248464
"3", 40, 40, 17.272, 0.997754637877944, 1, 0.445072, 83.5580896502615, 17.7433148148148, 0.909363652154885, 0.395933838412649, 0.02696402189, 10.8530462030894, 1.50691058866354, 0.51675, 18.8339136814758, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02134695446, 0.0386104486144554, 0.07904075075, 0.411526890793404, 0.6113258775, 0.451040565381944, 30, 54, 0.11704, 1.5, 15, 0, 44.4, 2.9683924205, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.159600818548164, 0.3786434847, 126.000000328837, 0.686000990673997, 0.8803528227, 2652, 0.39056766201532, 0.61832860505, 2.20325428256012, 0.197151825, 1.18050862828373, 0.58, 30.7223860959212, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.0373489298, 0.180813927093713, 0.33529221115, 0.844859738724841, 3.45321756911961, 0.084780865, 0.1784445366334, 0.78563809675
"4", 40, 40, 16.764, 0.997754637877944, 1, 0.463449, 80.313934147794, 17.0886472465489, 0.972394403295211, 0.422892922448511, 0.02696402189, 11.7690924626321, 1.50750376922993, 0.51675, 18.4788837206287, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02134695446, 0.0411887762801914, 0.07904075075, 0.43964049268558, 0.6113258775, 0.482203149721255, 30, 54, 0.11704, 1.5, 15, 0, 44.4, 2.9683924205, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.170307992086959, 0.3786434847, 126.000000328837, 0.732236798630909, 0.8803528227, 2652, 0.417075318296065, 0.61832860505, 2.37724347683, 0.197151825, 1.26717070474513, 0.58, 35.4742506656322, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.0373489298, 0.193076121222138, 0.33529221115, 0.901462052593406, 3.96262678130035, 0.084780865, 0.190750522082015, 0.78563809675
"5", 40, 40, 18.161, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.838144652591346, 0.364343750759466, 0.032332, 11.3270134302052, 1.35276009793374, 0.50793382826116, 37.173839408151, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0142586042677154, 0.08968, 0.372901333273155, 0.915413696954491, 0.440951684457323, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.178968380796431, 0.365549269124157, 126.000000328837, 0.761289283807645, 0.94606778981332, 2652, 0.456660937995796, 0.716763272792464, 2.08411922482641, 0.206330078914051, 1.05082903088181, 0.53, 29.8300154641474, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.18671397921691, 0.350709653673508, 0.901961338197359, 3.58099810109765, 0.10856, 0.184231507139701, 0.906427369248464
"6", 40, 40, 17.272, 0.997754637877944, 1, 0.41, 51.366, 15.4242, 0.691848111736132, 0.300783201612296, 0.032239771318, 9.86380785057915, 1.35746539768693, 0.52156, 30.8720590291717, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0123431228646615, 0.0894246865859998, 0.308903150580314, 0.895793213380001, 0.379804398425177, 30, 59, 0.11704, 1.5, 15, 0, 44.4, 2.77056158723, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.153399159527506, 0.360044810779999, 126.000000328837, 0.652593615129152, 0.93181292519, 2652, 0.391431312761778, 0.70597292402, 1.81075515392484, 0.227077028800001, 0.890568874496579, 0.53, 22.2161240215, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.037635930434, 0.159347380548617, 0.347106819369999, 0.744532110462587, 3.01919038891706, 0.108251474014, 0.175043880502701, 0.805225782462001
"7", 40, 40, 17.018, 0.997754637877944, 1, 0.47, 60.0175, 16.99, 0.769700411905797, 0.334560335503032, 0.02696402189, 9.45497017095028, 1.50998985602636, 0.51675, 29.5049688878704, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02134695446, 0.0321436999333647, 0.07904075075, 0.333790093317081, 0.6113258775, 0.350785049581635, 30, 54, 0.11704, 1.5, 15, 0, 44.4, 2.9683924205, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.134551005258319, 0.3786434847, 126.000000328837, 0.578889318604205, 0.8803528227, 2652, 0.329861282714964, 0.61832860505, 1.92012882622892, 0.197151825, 0.977419604733983, 0.58, 26.9012450898586, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.0373489298, 0.152227900740181, 0.33529221115, 0.828266577551228, 3.42078865216068, 0.084780865, 0.165713318551239, 0.78563809675
"8", 40, 40, 16.764, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.789291541057723, 0.34313655684043, 0.032332, 9.65133978382365, 1.35273053089901, 0.50793382826116, 26.7528797938157, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0134281170599435, 0.08968, 0.351142099087357, 0.915413696954491, 0.415275551642215, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.168553177810695, 0.365549269124157, 126.000000328837, 0.716919567867712, 0.94606778981332, 2652, 0.430121632709922, 0.716763272792464, 1.95989568988864, 0.206330078914051, 0.989216481297195, 0.53, 25.3021522392895, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.175777713104469, 0.350709653673508, 0.849397209456413, 3.06540185677218, 0.10856, 0.173341027586415, 0.906427369248464
"9", 40, 40, 18.796, 0.997754637877944, 1, 0.47, 74.3701739643305, 17.5106598984771, 1.012019807963, 0.440846898313492, 0.027495, 13.6509460672662, 1.50677924055346, 0.4960804488543, 15.5949614630538, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0429774574613159, 0.0806, 0.457916785713763, 0.624222887, 0.502026425006724, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 2.81404023345742, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.177661932007411, 0.388271282920694, 126.000000328837, 0.763684879871855, 0.90269805002269, 2652, 0.434577843721547, 0.634045697698776, 2.44840196628813, 0.182996245052804, 1.31283614963387, 0.58, 36.7974209233604, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.201209087962906, 0.342803347940327, 0.940408586644695, 4.11671381653834, 0.08645, 0.198610436082337, 0.883643914390751
"10", 40, 40, 17.018, 0.997754637877944, 1, 0.47, 74.3701739643305, 17.5106598984771, 0.939668795982614, 0.409219190247463, 0.027495, 11.1932323135639, 1.50812536701673, 0.4960804488543, 37.6254586610813, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0398960940631113, 0.0806, 0.427116058247946, 0.624222887, 0.468143067432126, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 2.81404023345742, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.165015969301126, 0.388271282920694, 126.000000328837, 0.709852076410348, 0.90269805002269, 2652, 0.404449281149941, 0.634045697698776, 2.33498267144919, 0.182996245052804, 1.23715684980997, 0.58, 31.779917484369, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.187201882754907, 0.342803347940327, 0.873236256557285, 4.21210677624254, 0.08645, 0.185221117199741, 0.883643914390751
