Time,E0,E1,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E2,E20,E21,P0,P1,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P2,P20,P21
30,0.02996202,0.09688289,0.2223334,0.2265332,0.1630979,0.04969397,0.3794398,0.334447,0.11126,0.1045465,0.32842,0.06109467,0.1062891,0.2741287,0.2735471,0.280334,0.1552925,0.3026269,0.1363037,0.2421222,0.297371,0.1349933,0.1319718,0.1927916,0.2407773,0.5952372,0.2152758,0.2366578,0.2870148,0.1352714
60,0.2007763,0.4410906,0.7394872,0.7668841,0.5277771,0.3305683,0.8514892,0.8053011,0.5310844,0.4586177,0.8199912,0.3746483,0.5213197,0.7130466,0.8299726,0.7998744,0.6766016,0.8748991,0.6274716,0.7991004,0.8695502,0.6191345,0.565375,0.7813168,0.7810101,1.146103,0.8237346,0.8166643,0.9269514,0.4723456
90,0.3748702,0.6098996,0.8872787,0.8695961,0.6020358,0.5815517,0.9459028,0.8525606,0.7180758,0.6230148,0.9041377,0.6247938,0.7977372,0.826232,0.8759394,0.8967983,0.9199606,1.043979,0.9206914,1.008311,1.002113,0.8353113,0.7401937,1.02511,0.9585143,1.207015,1.06441,0.9505689,1.135671,0.6289869
120,0.4586037,0.6289044,0.867819,0.8120403,0.5607293,0.6709701,0.9173514,0.7983089,0.7180133,0.6215669,0.8793432,0.7025672,0.8727958,0.7934099,0.8067091,0.8667983,0.9706455,1.047656,1.000669,1.060891,0.9811054,0.8457405,0.7368267,1.060013,0.9758906,1.160082,1.099298,0.9076462,1.16508,0.6418548
180,0.4474528,0.5404126,0.7151957,0.6329753,0.4244539,0.6128141,0.7685853,0.6455212,0.578795,0.4973337,0.7481976,0.6293948,0.7939623,0.6290995,0.6279078,0.7177206,0.9020627,0.9224639,0.9347472,1.010139,0.8235168,0.712257,0.6019651,0.9540509,0.8780679,0.9788321,0.9837728,0.7188223,1.071814,0.5400373
240,0.3700216,0.4382358,0.5602952,0.4809725,0.3208134,0.4904965,0.6218251,0.5164988,0.4423569,0.3798175,0.6132985,0.4999162,0.6589876,0.4856068,0.4750082,0.5736884,0.7814932,0.7731202,0.8035858,0.8983024,0.6575505,0.5668945,0.4725156,0.8050649,0.7471899,0.7969179,0.8214966,0.5540321,0.9304662,0.4353878
360,0.2560721,0.320807,0.3700567,0.311632,0.2400157,0.3204531,0.4448746,0.3762645,0.3041126,0.2624293,0.4463644,0.318293,0.4599629,0.3280105,0.2958624,0.40847,0.5852723,0.559713,0.6033223,0.7020904,0.4350762,0.3833926,0.350706,0.5766466,0.5470164,0.5564607,0.5804052,0.3847493,0.7062521,0.3272222
480,0.2102389,0.2783169,0.2912839,0.2529271,0.2283511,0.2472199,0.3666765,0.3222889,0.2689634,0.2279825,0.3760481,0.2369172,0.3633803,0.261241,0.2234303,0.3559535,0.4799574,0.453409,0.5150417,0.5923226,0.3291223,0.3113435,0.3253184,0.4548613,0.4401313,0.4435488,0.4590136,0.338139,0.5847402,0.2998679
720,0.1905649,0.2621015,0.2266234,0.2095439,0.1978691,0.2072711,0.2966468,0.271736,0.2518935,0.219294,0.3041281,0.1796523,0.2916783,0.2014504,0.1751748,0.3242144,0.3895227,0.3730848,0.4579429,0.5043775,0.2512308,0.2709752,0.3193665,0.3586545,0.3531358,0.355583,0.364685,0.2918356,0.4793606,0.272513
1440,0.188286,0.2268989,0.1484179,0.1500365,0.1103079,0.1842096,0.2266375,0.1878925,0.1740609,0.1944334,0.1958761,0.1247868,0.2197327,0.1378302,0.1343636,0.2432086,0.2961706,0.3125043,0.3606168,0.426146,0.1988444,0.2242884,0.2296565,0.2840441,0.2778371,0.2846397,0.2846935,0.2113528,0.3823216,0.2302786
