Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0.5,0.193912402,0.19206205,0.194307089,0.187220782,0.191666842,0.194279507,0.191214859,0.190441981,0.190950572,0.193243995,0.187578559,0.191497192,0.193902165,0.196262017,0.189107612,0.192640781,0.192570627,0.18975538,0.190171033,0.190895319,0.189841121,0.190299779,0.192344233,0.196007699,0.190815657,0.192667916,0.192904592,0.195333332,0.19361347,0.191416904,0.188208386,0.192779779,0.191503361,0.192662284,0.195196837,0.193481117,0.193437055,0.192675605,0.189199165,0.190361589,0.192924902,0.193128064,0.190574214,0.191008464,0.194033176,0.194068953,0.191568673,0.19034417,0.192802459,0.189970285,0.191473663,0.19388403,0.191634476,0.194812015,0.187906712,0.185432062,0.19337894,0.194671154,0.190968975,0.192856044,0.183192119,0.192626938,0.190597102,0.192461312,0.19413659,0.192048445,0.19578287,0.187772244,0.192141786,0.18444863,0.191249877,0.194073617,0.190843701,0.19448255,0.195009544,0.191771984,0.193540797,0.192528054,0.1923448,0.193839476,0.193797871,0.192856327,0.188909516,0.19540818,0.190895185,0.19165726,0.189333439,0.193241343,0.191553339,0.191838488,0.193745226,0.188796923,0.188975841,0.190563887,0.187257439,0.191002965,0.195045039,0.193807065,0.19496423,0.19360362
1,0.740611196,0.727384329,0.743458509,0.693706214,0.724585056,0.743259192,0.721394658,0.715966225,0.719534516,0.73581028,0.696149886,0.723386109,0.740537524,0.757696927,0.706674218,0.73149991,0.731000006,0.711172402,0.714071333,0.719146192,0.711769521,0.714971185,0.729388595,0.755831838,0.718586564,0.731693327,0.733382344,0.750904679,0.738460839,0.722819388,0.700469077,0.732491255,0.72342968,0.731653214,0.749910712,0.737510443,0.7371943,0.731748164,0.707308531,0.715403616,0.733527482,0.734980166,0.71689254,0.719941676,0.741481483,0.741739511,0.723891079,0.715281725,0.732653141,0.712669969,0.72322005,0.74040693,0.724356234,0.74711442,0.698397517,0.681595206,0.736777425,0.746092975,0.719663918,0.733035624,0.666675568,0.731401265,0.717053056,0.730221629,0.742227376,0.727287889,0.754186213,0.697475791,0.727950275,0.675011337,0.721641421,0.741773129,0.718783557,0.744727135,0.748548627,0.725328922,0.737938881,0.730696738,0.729392648,0.740086198,0.739786685,0.73303771,0.705303371,0.7514503,0.719145238,0.724517345,0.708239675,0.735791206,0.723782778,0.725799739,0.739408016,0.704525173,0.705762029,0.71682024,0.693956316,0.719902992,0.748806596,0.739852905,0.74821943,0.738390088
1.5,0.961326182,0.938030422,0.966376841,0.87994355,0.933135271,0.966022909,0.927571058,0.918140113,0.924334228,0.952838838,0.884099483,0.931042433,0.961195588,0.991826057,0.902102828,0.945249557,0.944371223,0.909849644,0.914858758,0.923659205,0.910880387,0.916416347,0.941542745,0.98847425,0.922686756,0.945589423,0.948560357,0.979645908,0.957520187,0.93005389,0.891467392,0.946992457,0.931118429,0.94551897,0.977869511,0.955840349,0.955281794,0.945685863,0.903193355,0.91716522,0.948815882,0.951375008,0.919746161,0.925042272,0.962868571,0.963326097,0.931923568,0.9169541,0.947277248,0.91243571,0.930752635,0.960964262,0.932735622,0.972880661,0.887930036,0.859481215,0.954545677,0.971061468,0.924559176,0.947950125,0.834579587,0.945076227,0.920024574,0.943004429,0.964191496,0.937861502,0.985521317,0.886358261,0.939021528,0.848450899,0.928000808,0.963385701,0.923029006,0.968631446,0.97543788,0.934434891,0.956597447,0.943838656,0.941549838,0.96039623,0.959865987,0.94795382,0.899748147,0.980621517,0.923657537,0.933016956,0.904795289,0.952805221,0.931734502,0.935257912,0.959195733,0.898412645,0.900535643,0.919620693,0.880368471,0.924974978,0.975898266,0.95998317,0.974850655,0.957395077
2,0.986900091,0.958272934,0.993139982,0.887989461,0.952289641,0.992702246,0.945501924,0.934030175,0.94156003,0.976441145,0.892966092,0.949734926,0.98673898,1.024761796,0.914617181,0.96711731,0.966039896,0.923979759,0.930048466,0.940738618,0.925227582,0.931937873,0.962572992,1.020579696,0.939555526,0.967534244,0.971181512,1.009589791,0.982205808,0.948528945,0.901808739,0.969256163,0.949827671,0.967447817,1.007382751,0.980136096,0.979448199,0.967652619,0.91593343,0.932846665,0.97149539,0.974640667,0.935980856,0.942421913,0.9888044,0.989369452,0.950810254,0.932590425,0.969605803,0.927111328,0.949381351,0.986453474,0.951801658,1.00119257,0.897560239,0.863606513,0.978541851,0.998938143,0.941833854,0.970432043,0.834189296,0.96690464,0.936319113,0.964364111,0.99043864,0.958066344,1.016899705,0.895674288,0.959485769,0.850540817,0.946025729,0.989443123,0.939971864,0.995929182,1.004364133,0.953877032,0.98106879,0.965386868,0.962581635,0.985752463,0.985098302,0.970436573,0.911776841,1.010802507,0.940736532,0.952145159,0.917868078,0.976399779,0.950579524,0.954882741,0.984271586,0.910167098,0.912726462,0.935828447,0.888497889,0.942339957,1.004935384,0.985242903,1.003635526,0.982051671
3,0.876385391,0.844275117,0.883440316,0.767217636,0.837616861,0.882944763,0.830085635,0.817410946,0.825722814,0.864605129,0.772591114,0.834779501,0.876203418,0.919500589,0.796115279,0.854150653,0.852945507,0.806361794,0.813027382,0.824814677,0.807730794,0.815106452,0.849071503,0.914701998,0.823507309,0.854617238,0.858702242,0.902134717,0.871091127,0.833441317,0.782169938,0.856544971,0.834882498,0.854520559,0.899618566,0.868760467,0.867986321,0.85474968,0.797553122,0.816107154,0.859054089,0.862582803,0.819561422,0.826676071,0.878536284,0.879174888,0.835973442,0.815824926,0.856936574,0.809799075,0.834387124,0.875881195,0.837074578,0.89257431,0.777562737,0.741068542,0.866966665,0.890013814,0.826025605,0.857862294,0.709925354,0.853912771,0.819934547,0.851072192,0.880383611,0.844044864,0.910486877,0.775520563,0.84562695,0.727182209,0.830666006,0.879258156,0.823967278,0.886600316,0.896180987,0.839381516,0.869810402,0.85221529,0.849081159,0.875090063,0.874351978,0.857867301,0.793015659,0.903518438,0.824812412,0.837456286,0.799668074,0.864558637,0.835717201,0.840500236,0.873419523,0.791260719,0.794051528,0.819393337,0.767766058,0.826585412,0.896831155,0.874515057,0.895351946,0.870917439
4,0.730173469,0.69856751,0.737162054,0.624090075,0.692055523,0.736670673,0.684707165,0.672381938,0.680458724,0.718539596,0.629220247,0.689284921,0.729993463,0.773131669,0.651791632,0.708252549,0.70706892,0.661680222,0.668131411,0.679575145,0.663003981,0.670146585,0.703267395,0.768321276,0.678303659,0.708710909,0.712726891,0.755757749,0.724939466,0.687979102,0.638389051,0.710605383,0.689385414,0.708615899,0.753248394,0.722638249,0.721874237,0.708841026,0.653177202,0.671117008,0.713073075,0.716546953,0.674469411,0.681386471,0.732302487,0.732934892,0.69045043,0.670843303,0.710990369,0.665005088,0.688901961,0.729674637,0.691525817,0.74623394,0.633975327,0.599260986,0.72086823,0.743688107,0.68075335,0.711900651,0.569990098,0.708018839,0.674831748,0.705230057,0.734132171,0.698342085,0.764101803,0.63202107,0.699891388,0.586169183,0.685272753,0.733017325,0.678750932,0.740297556,0.749823332,0.693780065,0.723674715,0.706351995,0.703276873,0.728892028,0.728162169,0.711905599,0.648807108,0.75713861,0.67957294,0.691898704,0.655216396,0.718493819,0.690200269,0.69487381,0.727240264,0.647118747,0.649804175,0.674306154,0.624613225,0.681298196,0.750470877,0.72832346,0.748997927,0.724767923
6,0.518965185,0.491015196,0.5252074,0.426989585,0.485313863,0.524767756,0.47890389,0.468208879,0.475209385,0.508623481,0.431316316,0.482894093,0.518804669,0.557688951,0.45050028,0.499530941,0.49848792,0.458980173,0.464536995,0.474442035,0.46011883,0.466276795,0.495142281,0.553310871,0.473338515,0.499935031,0.503479719,0.541926146,0.514304817,0.481754899,0.439080179,0.501606286,0.482981831,0.499851257,0.539660811,0.512259781,0.511581361,0.50004977,0.451685697,0.467115313,0.50378567,0.506858408,0.470015287,0.476015419,0.520864427,0.521429002,0.483911604,0.466878772,0.501946092,0.461841673,0.482559919,0.518520415,0.484850973,0.533343852,0.435337812,0.406225204,0.510688484,0.531056762,0.475465328,0.50274986,0.382123053,0.499324948,0.470329046,0.49686873,0.522498369,0.490817517,0.549479306,0.433683783,0.492176712,0.395394534,0.479396343,0.521502614,0.47372663,0.528015375,0.536573529,0.4868218,0.513180554,0.497856468,0.495150626,0.51782304,0.517172813,0.502754271,0.447949916,0.543173909,0.474440157,0.485176772,0.453431964,0.50858289,0.483693153,0.487778872,0.516351879,0.446509004,0.448801458,0.469873965,0.427430212,0.475938708,0.53715682,0.517316461,0.535830319,0.514152288
8,0.416541696,0.39131856,0.422213584,0.33462587,0.386208534,0.421813697,0.380477339,0.370948851,0.377180964,0.407175928,0.3384085,0.384043068,0.416396052,0.451950938,0.355265498,0.398973316,0.398034334,0.362760961,0.367687196,0.376496971,0.363769472,0.36923185,0.395025074,0.447921008,0.375513703,0.399337262,0.402531981,0.437473208,0.412316322,0.383024454,0.345214099,0.400842965,0.384121537,0.399261802,0.435399741,0.410464615,0.409850687,0.399440587,0.356311649,0.369976908,0.402807891,0.405581295,0.372555256,0.377899766,0.418265939,0.418778718,0.38495326,0.369766712,0.401149184,0.365296304,0.38374421,0.416138142,0.385794193,0.429627448,0.341930658,0.316572338,0.409042895,0.427541107,0.37740919,0.401873767,0.295826852,0.398787856,0.372834384,0.396577388,0.419750392,0.391141176,0.444399625,0.340481251,0.392361104,0.307222217,0.380917102,0.418845594,0.375859439,0.424769431,0.432576865,0.387558877,0.411298126,0.397466034,0.395032555,0.415505439,0.414915711,0.401877731,0.353016555,0.438616067,0.376495272,0.386085808,0.35785383,0.407139242,0.384757817,0.388416409,0.414171427,0.351746976,0.353767186,0.37242952,0.335010767,0.37783134,0.433109879,0.415046006,0.431897789,0.412178159
12,0.333325475,0.310161412,0.338580281,0.259337574,0.305509418,0.338209182,0.300308675,0.29170087,0.297325343,0.324685216,0.262674272,0.303542465,0.333190769,0.366404206,0.27763918,0.317155927,0.316296279,0.284343064,0.288765788,0.296707064,0.285247386,0.290155143,0.313544333,0.362606823,0.295818627,0.317489237,0.32041809,0.352800846,0.329421759,0.302617967,0.268697083,0.318868935,0.303613693,0.317420125,0.35086152,0.327713937,0.32714811,0.317583889,0.278573036,0.290825635,0.32067129,0.323218644,0.293148667,0.297975332,0.334921122,0.335395992,0.304369003,0.29063642,0.319149703,0.286617547,0.303271174,0.332952261,0.305132806,0.345474243,0.265788257,0.243521735,0.326403975,0.343531281,0.297531724,0.319814235,0.225571558,0.316986114,0.293400377,0.314963371,0.336296111,0.309999675,0.359295517,0.264506012,0.311112165,0.235401317,0.300707132,0.335457921,0.296130955,0.340953708,0.348224789,0.306737393,0.328482509,0.315776229,0.313551188,0.332367241,0.331822157,0.319817841,0.275633663,0.353870779,0.296705514,0.305397838,0.279950708,0.32465148,0.3041915,0.307517707,0.331134439,0.274502754,0.276302755,0.293035299,0.259676754,0.297913462,0.348722398,0.331942558,0.347591132,0.329294264
24,0.245117635,0.2223593,0.250379205,0.174970299,0.217875138,0.250006467,0.212896615,0.204737082,0.210057259,0.236545354,0.177971885,0.215987921,0.244983241,0.278839856,0.191625401,0.229156047,0.228317142,0.197842464,0.201977625,0.209470287,0.19868587,0.20328249,0.22563836,0.274896443,0.20862779,0.229481533,0.232348278,0.264799535,0.24123241,0.215102732,0.183429375,0.23083055,0.216056168,0.229414031,0.262817413,0.239539027,0.238978848,0.229573995,0.192487732,0.203913048,0.232596666,0.23510018,0.206102416,0.210674852,0.246711522,0.247186512,0.21678032,0.203735039,0.231105387,0.199965864,0.215728045,0.244745314,0.217513382,0.257337034,0.180787221,0.160957187,0.238242716,0.255369812,0.210253268,0.231756315,0.145488486,0.228990242,0.206340075,0.227018431,0.248087645,0.222202927,0.271472961,0.179626286,0.223279327,0.153901458,0.213276729,0.247248486,0.208923861,0.252767622,0.260130405,0.21905598,0.240300611,0.227810159,0.225645021,0.244162068,0.24361904,0.231759861,0.189777538,0.265895128,0.209468827,0.217767954,0.193762064,0.23651208,0.216610059,0.219807386,0.24293451,0.188737988,0.190393403,0.205995396,0.175274685,0.210616037,0.260636806,0.243738964,0.25948602,0.241105869
