Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
30,0.150330752,0.256337047,0.115422361,0.174721092,0.144431397,0.314311922,0.111266777,0.10022746,0.152659461,0.381749123,0.279963404,0.217276156,0.032880615,0.092243917,0.169762284,0.07800258,0.179654554,0.196493372,0.123998247,0.299464315,0.122936331,0.111589044,0.078656659,0.224093422,0.093576901,0.122481577,0.044454608,0.323692769,0.07801041,0.20237951,0.056120392,0.162980363,0.044014189,0.113569804,0.134420142,0.148847312,0.235318959,0.105898686,0.267744839,0.191460848,0.103819057,0.312921256,0.191736147,0.22734201,0.207991883,0.266222268,0.220146626,0.355068296,0.132582068,0.093748495,0.106907792,0.279689163,0.244609714,0.127324626,0.196939692,0.122750849,0.10130851,0.691170752,0.059302054,0.205935299,0.161130711,0.237222344,0.125793412,0.058819998,0.166683197,0.397712797,0.080269769,0.284183741,0.237912327,0.083989106,0.17660439,0.05486612,0.078512147,0.159537524,0.36073184,0.151643455,0.29021129,0.327775449,0.261289418,0.403421134,0.267301142,0.23799783,0.23455523,0.144226968,0.279070079,0.237746075,0.222860008,0.386769116,0.377025932,0.198330268,0.142075852,0.233197257,0.10302946,0.457918227,0.144764945,0.048515327,0.519241095,0.130501091,0.157295942,0.094048493
60,0.66117835,0.604490817,0.401489079,0.677378893,0.589875996,0.769705355,0.491697431,0.396894068,0.555550873,1.009968519,0.627465665,0.528261423,0.235768601,0.386091053,0.543588102,0.331738025,0.652666628,0.500628591,0.526996851,0.813103557,0.610410571,0.522243679,0.460804462,0.68054837,0.413552701,0.553800583,0.194719464,0.672651231,0.392307788,0.621462047,0.320765764,0.658119738,0.228197381,0.482429683,0.439725369,0.540394783,0.755911112,0.5333637,0.660435796,0.67744422,0.383906543,0.636080861,0.546247482,0.57278049,0.754288256,0.749755442,0.669604778,0.743572295,0.635059536,0.41993323,0.467396826,0.642631769,0.769072771,0.524355412,0.673154712,0.553922415,0.246863723,0.950864494,0.235721424,0.506093264,0.620367229,0.65051055,0.475128025,0.31652379,0.614044428,0.674640238,0.396606714,0.599788547,0.538695633,0.332416952,0.669920802,0.303489447,0.377868891,0.530799866,0.71432817,0.584288955,0.739465952,0.761940241,0.713818669,0.849570811,0.74500829,0.630867422,0.655227542,0.467950404,0.692864716,0.661882877,0.513666749,0.834090352,0.733006656,0.634933054,0.511060238,0.718630075,0.425885826,0.786689818,0.626155436,0.265938938,0.765333176,0.38222003,0.587572277,0.387971044
90,0.841545224,0.69779557,0.518184483,0.948817968,0.72805351,0.917890847,0.714482784,0.545026958,0.743779123,1.085251331,0.640765667,0.537317216,0.473075926,0.570545793,0.678440154,0.455230713,0.843348205,0.580086946,0.800554812,0.86612165,0.872437358,0.778301895,0.734645844,0.789906085,0.634725153,0.777050018,0.296187907,0.725864232,0.626531482,0.693273723,0.574706972,0.855247676,0.394554913,0.739998639,0.555360615,0.761781633,0.931247652,0.716605246,0.7124933,0.856902838,0.518007457,0.676134169,0.615551889,0.559600532,0.821551979,0.847373724,0.772558928,0.784198523,0.904777408,0.579851925,0.646494329,0.590531647,0.778300464,0.692667127,0.689189851,0.709390521,0.247389555,0.924302101,0.331558496,0.518075407,0.801232517,0.662427008,0.577545106,0.467048466,0.68815583,0.651924312,0.619702101,0.53177017,0.529652715,0.433665723,0.759512067,0.537724555,0.548973262,0.674663007,0.757790744,0.696037948,0.772959828,0.786989331,0.783944607,0.787300646,0.767630339,0.654844463,0.702534199,0.543596864,0.77781707,0.755242944,0.527750373,0.859088659,0.693810165,0.762201011,0.563393593,0.852621675,0.561594367,0.791833699,0.84247905,0.49217996,0.752591133,0.485027671,0.696962118,0.545986295
120,0.827226877,0.680512249,0.518161535,1.020854354,0.691584229,0.9273628,0.774302185,0.554863393,0.774483562,1.021286488,0.588645756,0.48986429,0.606378555,0.623120248,0.68026334,0.46094963,0.867143989,0.557640672,0.909325123,0.800722539,0.91630739,0.836512268,0.791555464,0.747286916,0.711756527,0.819717944,0.32996279,0.695848286,0.713303089,0.654191911,0.699690998,0.866447628,0.472094804,0.838807762,0.548401058,0.83248508,0.933883965,0.707517922,0.68191582,0.848931074,0.530763865,0.631024837,0.588834584,0.490888119,0.741528869,0.8219046,0.731219172,0.759130418,0.936368525,0.596907556,0.643500566,0.489701539,0.654393315,0.676155567,0.573632717,0.664072275,0.210957706,0.850215197,0.345671684,0.45632866,0.785441279,0.567532897,0.525108397,0.471059948,0.612154067,0.581420481,0.669497669,0.434030414,0.463084251,0.421587318,0.67703712,0.648969352,0.565713465,0.665080369,0.713475525,0.635492444,0.703334928,0.726480603,0.735210419,0.682329535,0.67821902,0.583087683,0.646540582,0.491033971,0.744150341,0.69454217,0.467263341,0.80730474,0.604358315,0.745519578,0.493396282,0.825528324,0.54771018,0.736773372,0.856071949,0.616932452,0.691392481,0.48891741,0.652865291,0.56391871
180,0.676835477,0.553495169,0.417728901,0.940260053,0.53317523,0.811875224,0.708508551,0.441412091,0.673634946,0.819995105,0.457724482,0.374207765,0.617891312,0.559776843,0.574605525,0.368905753,0.780802071,0.44030112,0.873794675,0.617289424,0.805009782,0.741296113,0.665517509,0.578211486,0.661459029,0.74141115,0.296485633,0.574682772,0.68680501,0.516358912,0.689313471,0.743872941,0.460814506,0.786796331,0.441130728,0.774764538,0.805414736,0.56210202,0.562718093,0.687738121,0.430219471,0.491080254,0.47411409,0.353273392,0.548868835,0.687713504,0.572061062,0.653875589,0.790937841,0.514136374,0.490559608,0.326858401,0.436145902,0.517411292,0.369226635,0.48022601,0.138755679,0.676951766,0.282932758,0.320753962,0.615239024,0.381165624,0.357291818,0.350299925,0.434123158,0.427917689,0.550071955,0.279819161,0.331977785,0.319204301,0.470675826,0.628124595,0.448213398,0.531045556,0.580396652,0.454675525,0.539707243,0.572737396,0.573766649,0.498298913,0.490292251,0.418227673,0.50017029,0.337319046,0.605461001,0.497267544,0.331094265,0.661661327,0.436619848,0.62464273,0.337419927,0.662193775,0.415482134,0.589969397,0.720394731,0.623331428,0.55026269,0.398008913,0.500833631,0.457874507
240,0.52572912,0.425670475,0.312023103,0.791059673,0.394663393,0.669532299,0.587819099,0.31985268,0.536416352,0.635720432,0.346610337,0.276840776,0.514611661,0.44891277,0.46633777,0.277226746,0.664600909,0.332057148,0.730087578,0.466991931,0.653044522,0.599968314,0.506256819,0.436463773,0.541922271,0.620673954,0.228485867,0.45506984,0.590784431,0.392362654,0.566489816,0.600628912,0.381097645,0.636506319,0.344268411,0.644301355,0.657153845,0.422876537,0.443695664,0.524945021,0.317646176,0.37120685,0.362219781,0.252073258,0.39858982,0.551725805,0.433241069,0.538641095,0.619007766,0.413417459,0.35216105,0.227685004,0.298594534,0.376919538,0.246867776,0.341175437,0.093823195,0.531036854,0.213659286,0.223799109,0.457441658,0.260055184,0.242938519,0.239859417,0.306612939,0.315860271,0.400275886,0.187776968,0.237584814,0.227983147,0.326575279,0.510306418,0.332659602,0.405627221,0.468967527,0.321925014,0.410309583,0.445897967,0.433990717,0.366672903,0.355597913,0.297857881,0.379452467,0.227601945,0.479679763,0.353013784,0.233052194,0.526185095,0.322789609,0.506555617,0.231600076,0.508179545,0.297254145,0.45964551,0.571807146,0.519636214,0.437002957,0.296789974,0.375628859,0.345851302
360,0.340631187,0.266737133,0.185479045,0.555536509,0.24128665,0.470750809,0.400590122,0.192663476,0.341085523,0.410375118,0.218559548,0.160104096,0.336580455,0.292035967,0.357407957,0.180944815,0.486176878,0.206559569,0.478426218,0.322884887,0.4330827,0.40988183,0.308293581,0.303162694,0.376335353,0.434274286,0.128486693,0.299131751,0.441584587,0.242467463,0.360781908,0.401531845,0.259877801,0.395915598,0.250539601,0.429797292,0.450927973,0.263673425,0.28517285,0.338572294,0.191887423,0.235476077,0.222299263,0.151568562,0.241238758,0.38260144,0.283088982,0.366133392,0.392461449,0.272796869,0.215343282,0.146806434,0.178820595,0.226062521,0.155526266,0.208488807,0.059425369,0.358831346,0.145284474,0.133987039,0.278705686,0.156102553,0.152237475,0.129524335,0.180964276,0.215761513,0.229525641,0.122501075,0.140929684,0.126399711,0.210377216,0.324954242,0.232691824,0.272656977,0.344781458,0.198482499,0.264203161,0.309280962,0.276206344,0.227986977,0.224921107,0.186264828,0.248317361,0.130737588,0.334004998,0.233568147,0.136003464,0.350309163,0.225739732,0.35675475,0.145791501,0.324959189,0.179152966,0.30086717,0.384331167,0.357162088,0.315643311,0.172678426,0.241466835,0.244523764
480,0.26555258,0.195919648,0.133091524,0.429958463,0.189765558,0.371477872,0.303855181,0.154512346,0.244583949,0.313471794,0.16542457,0.108143874,0.253498435,0.221416593,0.324786007,0.150458515,0.386861682,0.153165579,0.342196792,0.287861675,0.324743509,0.335280508,0.229950279,0.271458536,0.314929903,0.337723613,0.083145618,0.223521173,0.37756902,0.176184505,0.263670176,0.302347451,0.208751872,0.278733134,0.21955426,0.313220054,0.349858582,0.20412086,0.208740741,0.268817782,0.152598456,0.17711553,0.163410246,0.116408482,0.186519295,0.312946051,0.229121864,0.270805955,0.289741486,0.208722115,0.175983801,0.129304722,0.145177409,0.170570642,0.134906337,0.165988714,0.050864741,0.284165919,0.125459239,0.104896374,0.207048923,0.126037493,0.133308634,0.093810953,0.138353169,0.182744876,0.168353751,0.110381059,0.104695737,0.085007235,0.183260635,0.239118904,0.210898608,0.225111201,0.290588647,0.161411718,0.203661412,0.26639992,0.213569418,0.174877957,0.182900786,0.156484053,0.200926974,0.102057785,0.273184091,0.201619014,0.100503437,0.267081261,0.199164629,0.286408156,0.12724185,0.248543486,0.146450713,0.231041953,0.305051208,0.29460904,0.256737441,0.121153906,0.193905935,0.223781496
720,0.21090591,0.140229657,0.091091014,0.326925397,0.159546539,0.281632394,0.227941513,0.135708019,0.171985209,0.242603138,0.122992054,0.07066647,0.201688111,0.163132817,0.307653278,0.138129935,0.29890582,0.109445803,0.238356709,0.264706999,0.244239628,0.293555766,0.182740465,0.233048767,0.278803498,0.257141501,0.051937718,0.155435294,0.342757702,0.127745792,0.194831431,0.226075307,0.183383614,0.19543615,0.175318122,0.218404725,0.272758335,0.163958237,0.146069601,0.211256593,0.116964862,0.126093268,0.123069167,0.088442259,0.15066959,0.255174488,0.182572871,0.187603623,0.21869117,0.162732378,0.147688434,0.113918945,0.122819304,0.132583916,0.129333824,0.138219193,0.035160117,0.225298136,0.120616175,0.077343181,0.16002591,0.101178482,0.130091861,0.076962501,0.109734528,0.138520539,0.130931333,0.104756527,0.07772363,0.056142073,0.177256435,0.178873405,0.212605849,0.183509946,0.235546842,0.134548441,0.16209425,0.234945714,0.166049957,0.140227854,0.155562952,0.136734322,0.164021283,0.078950226,0.220142663,0.16083765,0.075456724,0.201451764,0.167854562,0.225751817,0.119998761,0.195731804,0.125504017,0.17625916,0.250429809,0.260871977,0.194827661,0.083880387,0.159984216,0.220381379
1440,0.147774547,0.084368013,0.040426459,0.229428753,0.102697529,0.18379119,0.160421088,0.082268551,0.118694626,0.177700818,0.073003553,0.041202102,0.143125728,0.093170799,0.173605442,0.119551755,0.20300135,0.058475405,0.170073241,0.175170243,0.174516037,0.223025888,0.138424695,0.151511967,0.172857061,0.166964591,0.026431911,0.090177022,0.270187408,0.087017953,0.126242325,0.166251317,0.155619442,0.130786136,0.094773389,0.139014333,0.206271142,0.118864633,0.085499875,0.140449464,0.076208927,0.081517875,0.077080905,0.059135344,0.112629242,0.163917586,0.114442803,0.108939067,0.164840251,0.101130687,0.104525059,0.082629636,0.097234845,0.099150121,0.112958699,0.105143487,0.016028546,0.166787177,0.070809342,0.047346186,0.1263787,0.07993459,0.115648128,0.064178139,0.080574617,0.089441672,0.101549,0.068358928,0.050007373,0.033117317,0.142973796,0.120249525,0.172476634,0.118851453,0.163300291,0.099886321,0.127222076,0.16198869,0.12336567,0.111609943,0.122647151,0.09905535,0.108082741,0.050922409,0.147869021,0.117264532,0.054474305,0.135653079,0.127948686,0.145189926,0.083313309,0.154969886,0.076539963,0.125128016,0.194312632,0.226420298,0.13904494,0.047772653,0.113995425,0.154849008
