IndividualId,Gender,Population,Weight (kg),Age (yr),Height (m)
0,FEMALE,European_ICRP_2002,66.93,33,1.64
1,MALE,European_ICRP_2002,31.39,10,1.37
2,FEMALE,European_ICRP_2002,54.35,24,1.69
3,FEMALE,European_ICRP_2002,45.53,98,1.44
4,FEMALE,European_ICRP_2002,54.77,95,1.6
5,MALE,European_ICRP_2002,93.25,84,1.69
6,MALE,European_ICRP_2002,74.19,42,1.73
7,FEMALE,European_ICRP_2002,66.11,44,1.66
8,MALE,European_ICRP_2002,17.43,3,0.93
9,MALE,European_ICRP_2002,75.45,34,1.73
10,MALE,European_ICRP_2002,85.34,46,1.83
11,FEMALE,European_ICRP_2002,67.68,36,1.6
12,FEMALE,European_ICRP_2002,65.05,74,1.6
13,MALE,European_ICRP_2002,72.76,99,1.66
14,MALE,European_ICRP_2002,76.97,81,1.63
15,MALE,European_ICRP_2002,82.65,45,1.69
16,MALE,European_ICRP_2002,70.52,50,1.82
17,MALE,European_ICRP_2002,55.79,32,1.61
18,FEMALE,European_ICRP_2002,89.72,44,1.58
19,FEMALE,European_ICRP_2002,115.11,35,1.68
20,FEMALE,European_ICRP_2002,41.93,14,1.5
21,MALE,European_ICRP_2002,57.83,75,1.59
22,FEMALE,European_ICRP_2002,44.25,89,1.39
23,FEMALE,European_ICRP_2002,59.42,69,1.61
24,MALE,European_ICRP_2002,22.39,6,1.16
25,FEMALE,European_ICRP_2002,60.62,87,1.47
26,MALE,European_ICRP_2002,46.81,86,1.46
27,MALE,European_ICRP_2002,82.62,37,1.97
28,FEMALE,European_ICRP_2002,61.47,41,1.81
29,MALE,European_ICRP_2002,56.73,91,1.81
30,FEMALE,European_ICRP_2002,31.56,8,1.34
31,MALE,European_ICRP_2002,70.9,67,1.66
32,FEMALE,European_ICRP_2002,60.59,30,1.7
33,FEMALE,European_ICRP_2002,54.74,68,1.46
34,FEMALE,European_ICRP_2002,71.75,67,1.5
35,FEMALE,European_ICRP_2002,92.49,71,1.56
36,MALE,European_ICRP_2002,79.79,44,1.8
37,MALE,European_ICRP_2002,30.34,8,1.25
38,FEMALE,European_ICRP_2002,58.82,66,1.45
39,MALE,European_ICRP_2002,44.77,97,1.4
40,FEMALE,European_ICRP_2002,57.44,15,1.59
41,FEMALE,European_ICRP_2002,61.24,51,1.52
42,MALE,European_ICRP_2002,61.45,86,1.68
43,MALE,European_ICRP_2002,58.11,96,1.56
44,FEMALE,European_ICRP_2002,63.05,68,1.49
45,FEMALE,European_ICRP_2002,54.22,56,1.54
46,MALE,European_ICRP_2002,53.63,86,1.57
47,FEMALE,European_ICRP_2002,73.25,30,1.67
48,FEMALE,European_ICRP_2002,11.01,1,0.82
49,MALE,European_ICRP_2002,69.21,55,1.67
50,FEMALE,European_ICRP_2002,57.43,40,1.7
51,FEMALE,European_ICRP_2002,78.75,44,1.54
52,MALE,European_ICRP_2002,73.59,81,1.58
53,FEMALE,European_ICRP_2002,62.98,31,1.64
54,MALE,European_ICRP_2002,63.24,20,1.63
55,FEMALE,European_ICRP_2002,65.6,49,1.55
56,FEMALE,European_ICRP_2002,63.78,47,1.6
57,FEMALE,European_ICRP_2002,64.15,25,1.61
58,FEMALE,European_ICRP_2002,16.23,2,0.89
59,FEMALE,European_ICRP_2002,55.77,75,1.56
60,FEMALE,European_ICRP_2002,76.88,67,1.51
61,MALE,European_ICRP_2002,61.88,66,1.54
62,MALE,European_ICRP_2002,18.56,4,1.1
63,FEMALE,European_ICRP_2002,90.58,81,1.54
64,FEMALE,European_ICRP_2002,55.86,93,1.57
65,MALE,European_ICRP_2002,86.06,64,1.62
66,FEMALE,European_ICRP_2002,37.05,97,1.46
67,FEMALE,European_ICRP_2002,50.88,59,1.48
68,FEMALE,European_ICRP_2002,60.26,30,1.68
69,MALE,European_ICRP_2002,61.31,22,1.66
70,FEMALE,European_ICRP_2002,51.35,66,1.56
71,MALE,European_ICRP_2002,66.87,20,1.72
72,FEMALE,European_ICRP_2002,64.29,61,1.56
73,FEMALE,European_ICRP_2002,52.97,31,1.62
74,FEMALE,European_ICRP_2002,54.49,43,1.59
75,MALE,European_ICRP_2002,35.44,11,1.44
76,FEMALE,European_ICRP_2002,60.22,92,1.5
77,MALE,European_ICRP_2002,68.71,24,1.74
78,FEMALE,European_ICRP_2002,58.27,86,1.52
79,FEMALE,European_ICRP_2002,103.33,63,1.57
80,FEMALE,European_ICRP_2002,56.19,25,1.52
81,MALE,European_ICRP_2002,62.18,26,1.63
82,FEMALE,European_ICRP_2002,36.88,10,1.41
83,FEMALE,European_ICRP_2002,63.39,72,1.64
84,MALE,European_ICRP_2002,77.86,42,1.81
85,FEMALE,European_ICRP_2002,44.79,99,1.44
86,FEMALE,European_ICRP_2002,52.28,52,1.56
87,MALE,European_ICRP_2002,66.48,25,1.66
88,MALE,European_ICRP_2002,62.2,21,1.66
89,FEMALE,European_ICRP_2002,49.24,88,1.35
90,MALE,European_ICRP_2002,55.89,16,1.61
91,FEMALE,European_ICRP_2002,91.81,65,1.57
92,MALE,European_ICRP_2002,85.27,61,1.64
93,FEMALE,European_ICRP_2002,61.29,49,1.65
94,MALE,European_ICRP_2002,74.87,41,1.76
95,FEMALE,European_ICRP_2002,45.74,46,1.47
96,MALE,European_ICRP_2002,73.36,24,1.68
97,MALE,European_ICRP_2002,63.12,89,1.74
98,FEMALE,European_ICRP_2002,56.99,17,1.61
99,MALE,European_ICRP_2002,22.44,5,1.14
100,MALE,European_ICRP_2002,55.8,57,1.66
101,MALE,European_ICRP_2002,80.65,92,1.66
102,MALE,European_ICRP_2002,50.49,21,1.57
103,FEMALE,European_ICRP_2002,81.5,40,1.59
104,FEMALE,European_ICRP_2002,76.19,69,1.47
105,FEMALE,European_ICRP_2002,27.98,8,1.19
106,FEMALE,European_ICRP_2002,33.42,9,1.39
107,MALE,European_ICRP_2002,6.85,0.9,0.67
108,FEMALE,European_ICRP_2002,34,96,1.33
109,FEMALE,European_ICRP_2002,48.79,84,1.39
110,MALE,European_ICRP_2002,82.82,78,1.67
111,MALE,European_ICRP_2002,58.28,83,1.47
112,FEMALE,European_ICRP_2002,56.11,58,1.48
113,FEMALE,European_ICRP_2002,55.2,38,1.55
114,MALE,European_ICRP_2002,65.96,19,1.67
115,FEMALE,European_ICRP_2002,34.21,12,1.44
116,FEMALE,European_ICRP_2002,61.69,78,1.63
117,MALE,European_ICRP_2002,48.42,91,1.48
118,MALE,European_ICRP_2002,75.31,49,1.84
