"IndividualId","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|Ontogeny factor (albumin)","Organism|Hematocrit","Organism|MeanBW","Organism|MeanHeight","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate"
"1", 40, 40, 16.764, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.789344026543693, 0.343116362276816, 0.032332, 9.651333224417, 1.35271775080858, 0.50793382826116, 25.9938614060328, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0134282728875818, 0.08968, 0.351158335865402, 0.915413696954491, 0.415243322819004, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.16854174635154, 0.365549269124157, 126.000000328837, 0.716912582975993, 0.94606778981332, 2652, 0.430064120253117, 0.716763272792464, 1.95904473679, 0.206330078914051, 0.988803442097055, 0.53, 25.2793689275645, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.175838245795349, 0.350709653673508, 0.849365595957738, 3.04847568660575, 0.10856, 0.173382308302585, 0.906427369248464
"2", 40, 40, 16.256, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.771381234583177, 0.335316438951303, 0.032332, 9.07554818587412, 1.35305950175712, 0.50793382826116, 39.5349494720225, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.013121831746269, 0.08968, 0.343344557017504, 0.915413696954491, 0.406295317792124, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.164721639909145, 0.365549269124157, 126.000000328837, 0.700750802147272, 0.94606778981332, 2652, 0.420446708981675, 0.716763272792464, 1.92443340460441, 0.206330078914051, 0.969274707887849, 0.53, 23.9899610038051, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.171923290172124, 0.350709653673508, 0.830057217105219, 3.22576062221881, 0.10856, 0.169653943416048, 0.906427369248464
"3", 40, 40, 17.272, 0.997754637877944, 1, 0.445072, 83.5580896502615, 17.7433148148148, 0.909274879809592, 0.396023667866432, 0.02696402189, 10.8527361885322, 1.50699141413226, 0.51675, 18.8347256708658, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02134695446, 0.0386146628717277, 0.07904075075, 0.411296478817813, 0.6113258775, 0.451098989504382, 30, 54, 0.11704, 1.5, 15, 0, 44.4, 2.9683924205, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.159611264547102, 0.3786434847, 126.000000328837, 0.685925733561405, 0.8803528227, 2652, 0.390512753359119, 0.61832860505, 2.20361789579868, 0.197151825, 1.18102745859907, 0.58, 30.7215222314746, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.0373489298, 0.180755667930355, 0.33529221115, 0.844893723793044, 3.45304919738829, 0.084780865, 0.178322298504619, 0.78563809675
"4", 40, 40, 16.764, 0.997754637877944, 1, 0.463449, 80.313934147794, 17.0886472465489, 0.972171498786932, 0.422893309170757, 0.02696402189, 11.7691008498349, 1.50745194076908, 0.51675, 18.4801401983223, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02134695446, 0.0411895280922841, 0.07904075075, 0.439740482796393, 0.6113258775, 0.482336588470814, 30, 54, 0.11704, 1.5, 15, 0, 44.4, 2.9683924205, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.170302484482833, 0.3786434847, 126.000000328837, 0.732307341644397, 0.8803528227, 2652, 0.417093185279943, 0.61832860505, 2.37657470451, 0.197151825, 1.26749422320418, 0.58, 35.4733771580665, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.0373489298, 0.19307031380537, 0.33529221115, 0.901416431191042, 3.9626308973414, 0.084780865, 0.190708990271852, 0.78563809675
"5", 40, 40, 18.161, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.838121543062408, 0.364353413062481, 0.032332, 11.3269607624841, 1.35278874304829, 0.50793382826116, 37.1740219799458, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0142593083751329, 0.08968, 0.372950304882232, 0.915413696954491, 0.440919106208822, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.178976890993456, 0.365549269124157, 126.000000328837, 0.76136558263661, 0.94606778981332, 2652, 0.456747955384576, 0.716763272792464, 2.08390139943103, 0.206330078914051, 1.0510462837953, 0.53, 29.8297529575586, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.186707605615091, 0.350709653673508, 0.901982726422659, 3.58092762738262, 0.10856, 0.184215991470982, 0.906427369248464
"6", 40, 40, 17.272, 0.997754637877944, 1, 0.41, 51.366, 15.4242, 0.69186788514375, 0.300774402758585, 0.032239771318, 9.86388542545874, 1.35748700284952, 0.52156, 30.8708652365395, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0123437035483068, 0.0894246865859998, 0.308846782420975, 0.895793213380001, 0.379582966651074, 30, 59, 0.11704, 1.5, 15, 0, 44.4, 2.77056158723, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.153391597257074, 0.360044810779999, 126.000000328837, 0.652406193027816, 0.93181292519, 2652, 0.391450882306142, 0.70597292402, 1.81087715697657, 0.227077028800001, 0.890434445894055, 0.53, 22.2173831725204, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.037635930434, 0.159403269124387, 0.347106819369999, 0.744576934522996, 3.01934167009114, 0.108251474014, 0.175081566286127, 0.805225782462001
"7", 40, 40, 17.018, 0.997754637877944, 1, 0.47, 60.0175, 16.99, 0.769671883922465, 0.334576484662145, 0.02696402189, 9.45501171824042, 1.50996433727377, 0.51675, 29.5003347271101, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02134695446, 0.0321445405974544, 0.07904075075, 0.333812519119588, 0.6113258775, 0.350888809295812, 30, 54, 0.11704, 1.5, 15, 0, 44.4, 2.9683924205, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.134561819138704, 0.3786434847, 126.000000328837, 0.578950243360458, 0.8803528227, 2652, 0.329780660989796, 0.61832860505, 1.92038121806669, 0.197151825, 0.977579429117256, 0.58, 26.9053638411242, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.0373489298, 0.152200503377732, 0.33529221115, 0.828287346204539, 3.42073683424176, 0.084780865, 0.165753116751805, 0.78563809675
"8", 40, 40, 16.764, 0.997754637877944, 1, 0.41, 63.2933088777244, 16.0865036448052, 0.789311736922103, 0.343135397288545, 0.032332, 9.65132657498213, 1.35265630831437, 0.50793382826116, 26.7545886604776, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.025901, 0.0134282580506425, 0.08968, 0.351180420082939, 0.915413696954491, 0.415201108535594, 30, 59, 0.11704, 1.5, 15, 0.9, 44.4, 2.64339271869649, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.168581279157925, 0.365549269124157, 126.000000328837, 0.716824856079417, 0.94606778981332, 2652, 0.430156662896571, 0.716763272792464, 1.95998869621851, 0.206330078914051, 0.989270170451387, 0.53, 25.300355165288, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.032804, 0.175811617637679, 0.350709653673508, 0.849374827270669, 3.06534407695292, 0.10856, 0.17346474820246, 0.906427369248464
"9", 40, 40, 18.796, 0.997754637877944, 1, 0.47, 74.3701739643305, 17.5106598984771, 1.01198449716968, 0.440812874849738, 0.027495, 13.6510727468258, 1.50684148942639, 0.4960804488543, 15.5994826974132, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0429813986513958, 0.0806, 0.457830283429021, 0.624222887, 0.501740126248471, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 2.81404023345742, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.177664357009976, 0.388271282920694, 126.000000328837, 0.763642576210266, 0.90269805002269, 2652, 0.434557317891029, 0.634045697698776, 2.44719713852035, 0.182996245052804, 1.31324024675483, 0.58, 36.7942034890045, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.201266692195036, 0.342803347940327, 0.940511556275767, 4.11655601186807, 0.08645, 0.198414372444026, 0.883643914390751
"10", 40, 40, 17.018, 0.997754637877944, 1, 0.47, 74.3701739643305, 17.5106598984771, 0.939721137641676, 0.409236135685044, 0.027495, 11.1933184269811, 1.50816494796842, 0.4960804488543, 37.6257750630477, 0.8, 0.79, 0.002, 0.16, 0.15, 0.18, 0.853, 0.92, 0.0016, 0.002024, 0.135, 0.00899999999999998, 0.03, 0.02184, 0.0398940734608891, 0.0806, 0.427026389198369, 0.624222887, 0.468068588517536, 30, 54, 0.11704, 1.5, 15, 0.9, 44.4, 2.81404023345742, 1.00000000260982, 0.5, 15.0000000391473, 1.00000002079922, 0.999999963215789, 2, 0.5, 292.6883, 447.9877, 372.9358, 260.7527, 146.565, 1.8, 2.5, 2.5, 2.5, 2.5, 3.56, 0.165020379037986, 0.388271282920694, 126.000000328837, 0.709954133961044, 0.90269805002269, 2652, 0.404440717624615, 0.634045697698776, 2.33448886548029, 0.182996245052804, 1.23764927161182, 0.58, 31.7797371839163, 0.013, 0.0238, 0.0072, 0.177, 0.811, 0.76, 0.16, 0.022, 0.0049, 0.0078, 0.0042, 0.079, 0.19, 0.666, 0.76, 0.03419, 0.187180702035126, 0.342803347940327, 0.873218257281433, 4.21188619027062, 0.08645, 0.185219420210416, 0.883643914390751
